,avrB_RI-1,avrB_RI-2,avrB_RI-3,avrB_RI-4,avrB_RI-5,avrB_RI-6,avrB_RII-1,avrB_RII-2,avrB_RII-3,avrB_RII-4,avrB_RII-5,avrB_RII-6,avrB_RIII-1,avrB_RIII-2,avrB_RIII-3,avrB_RIII-4,avrB_RIII-5,avrB_RIII-6,avrB_RIV-1_,avrB_RIV-2,avrB_RIV-3,avrB_RIV-4,avrB_RIV-5,avrB_RIV-6,avrB_RV-1,avrB_RV-2,avrB_RV-3,avrB_RV-4,avrB_RV-5,avrB_RV-6,avrB_RVI-1,avrB_RVI-2_,avrB_RVI-3,avrB_RVI-4,avrB_RVI-5,avrB_RVI-6,control_1,control_2,control_3,control_4,control_6,C_RI-1,C_RI-2,C_RI-3,C_RI-4,C_RI-5,C_RI-6,C_RII-1,C_RII-2,C_RII-3,C_RII-4,C_RII-5,C_RII-6,C_RIII-1,C_RIII-2,C_RIII-3,C_RIII-4,C_RIII-5,C_RIII-6,C_RIV-1,C_RIV-2,C_RIV-3,C_RIV-4,C_RIV-5,C_RIV-6,C_RV-1,C_RV-2,C_RV-3,C_RV-4,C_RV-5,C_RV-6,C_RVI-1_,C_RVI-2_,C_RVI-3_,C_RVI-4,C_RVI-5_,C_RVI-6,EV_RI-1,EV_RI-2,EV_RI-3,EV_RI-4,EV_RI-5,EV_RI-6,EV_RII-1,EV_RII-2,EV_RII-3,EV_RII-4,EV_RII-5,EV_RII-6,EV_RIII-1,EV_RIII-2,EV_RIII-3,EV_RIII-4,EV_RIII-5,EV_RIII-6,EV_RIV-1,EV_RIV-2,EV_RIV-4,EV_RIV-5,EV_RIV-6,EV_RV-1,EV_RV-2,EV_RV-3,EV_RV-4,EV_RV-5,EV_RV-6,EV_RVI-1,EV_RVI-2,EV_RVI-3,EV_RVI-4,EV_RVI-5,EV_RVI-6
Segniliparaceae,0.0,8.744855608407157e-05,0.0002850249329206491,0.0011240670491910532,0.0,0.00012594765329360937,0.0,0.00018710452349982775,0.0,0.0,8.537216274326507e-05,0.0,0.0,0.00011114360302960942,0.0,0.0,0.0,0.0,0.00011573533152228388,0.00026671425476283565,0.00016949887623184082,0.0,0.00065858182419627,0.0010518727532189958,0.001564608222058952,0.00018072336187921785,0.0,0.0,0.0004086536941906654,0.0,0.0011169935035338077,0.0,0.0017242995251943243,0.00051083178517982,9.526492519193523e-05,0.00031049461667970136,0.0,0.0,0.0,0.0,0.0,0.0,0.0003037309512248495,0.0002284906615722552,0.0,0.0,8.271743127891314e-05,0.0003874847192379664,0.0,0.0,0.00010126243686083077,0.00012359842105670019,5.961655624947563e-05,0.0,0.0,0.0002133779296574844,0.0,0.0,0.0,0.0,0.0001232868168822575,0.0001930241522462771,0.0,0.0,0.0002336027880455626,0.0025975754135326144,0.00024421981387883987,0.00028121324697089983,0.0,0.0001944750015822457,0.00024407640980753694,0.0036707890617781068,0.0007564131298892633,0.00028569258297110595,0.0,0.0,0.0007295853834306556,0.0,0.0,0.0002634179075820846,7.262213234769209e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021419256103213298,0.0,0.0,0.0,0.0,0.000529396679980346,0.00022414175122327477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018922034041348051,0.0009354084993818561,0.0009524656421183571,0.0,0.0007040848458002945,0.0,0.0,0.0004066445007438587,0.0,0.0
Fibrobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desulfomicrobiaceae,0.0,8.64379290805595e-05,9.391031726241708e-05,0.0011110764114430902,0.0,0.0,0.0,0.0,0.0,8.061305717497491e-05,0.0,0.0,0.0,0.0,0.00013274712720182192,0.0,0.0,0.0,0.00011439779941730102,0.0,0.0,0.0,0.0,0.0,0.0005155087767912871,0.0,0.0,0.0,0.000201965479012611,0.0,0.0011040846134621005,0.0,0.0007304451901123619,0.00025246409773203567,0.0001412459487556683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002001843307163636,0.00012217001666096303,5.8927578588778844e-05,0.0,0.0,0.0,0.00015575008584355163,0.0001956768686700935,6.287833448523963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0012837778542648475,0.0007241922301781156,0.0,0.0,0.0,0.0,0.0009070916056253323,0.0,0.0002823908859279194,0.0,0.0,0.0001602563774004286,0.0,0.0,0.0003905604523459413,7.178285161751462e-05,0.0,0.0,0.0,0.00012828750147473946,0.0,0.0,8.816986184654037e-05,0.0,0.0,0.0,0.0,0.00012929108577100742,0.0,0.00011077569295485945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004707290852575442,0.0,0.0,0.0,0.00019831795381715912,0.0,0.0,0.0
Thiobacillaceae,0.0,0.00034638896012522183,0.0004704170016504136,0.0014841656005769729,0.0002184926016567857,0.00012472154661033848,0.0,0.00018528305163644532,0.0,0.0,0.0,0.0,0.0,0.0,0.0002659835782749644,0.0,0.0,0.0,0.00011460864230053841,0.0,0.0,0.0,0.0,0.0005208163597654135,0.0005164588943406324,0.0002684460164134669,0.0,0.0003559691927447462,0.0,0.0,0.0011061195160950717,0.0,0.0009757219333489582,0.0012646470307156586,0.0,0.00030747193610824894,0.0,0.0,0.0,0.0,0.0,0.0,0.00010025803842458902,0.00011313314679582475,0.0003616224665052349,0.0,8.191217296197058e-05,0.0,0.0005039227958481248,0.0,0.00010027664199008456,0.0,0.0,0.0,0.0,0.0,0.0,0.00019603751437642192,0.0,0.0,0.0,9.557252625097803e-05,0.0,0.0,0.0,0.0038584318310901275,0.0,0.00013923781099661563,0.0,0.000385163555494629,0.0,0.0,0.0009987325471503927,0.0,0.0,0.0,0.0005619310926081358,0.0,9.247201282399629e-05,0.00013042676056022957,7.191515226909298e-05,0.0,0.00038613691981888683,0.0006681925678079617,0.0,0.0,0.0,8.833236486653776e-05,0.0,0.0,0.0,0.0,0.0,0.0002621214884552256,0.0,0.0014156297619558232,0.0,0.0,0.0,0.0,0.0003856787505794544,0.0,0.0018737827096697076,0.0004631511255052522,0.004244370037254771,0.0,0.0020916916341839485,0.0,0.0,0.00040268579625799515,0.0,0.0012043411022524156
Leptospiraceae,0.0,6.690490246333737e-05,0.00036344349544094914,0.00028666604937451254,8.440353409371644e-05,0.0,0.0,0.00014314941784939703,0.0,0.0,0.0,5.458864745785416e-05,0.0,0.0,0.00020549852806974828,0.0,0.0,9.176040835807281e-05,0.00017709294272660552,0.0,0.0,0.0004067699701789028,0.00016795532781436074,0.0004023819666633563,0.0,0.00020740100421585823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029311934032768107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001884744307762583,0.00011618882333093578,0.0,0.0,8.247722131953387e-05,0.0,0.0,0.0,0.0,7.747358864176575e-05,9.456234242988557e-05,0.0,0.0,0.0,0.0,0.0002411081434472468,0.00015145830021566663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009936729516521893,0.0,0.0,0.00015638437891665275,0.0,0.00018673731303322518,0.0007021093175787837,0.0,0.00021857690114179424,0.0,0.0,0.00018606306420953283,0.0,0.0,0.00020153505332818096,5.556154268265757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011647145152881812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029797484516102336,0.0,0.0007238409063765742,0.0,0.0003643549061252933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tsukamurellaceae,0.0,0.000666059249560913,0.000855209438509315,0.00103776373325005,0.00045832560307565716,0.0,0.0001708224592964446,0.0,0.00021912734926755274,0.0,0.0,0.0001482128386912418,0.00015526248010356422,0.0,0.0003719640329442043,0.0,0.0002210894512891867,8.30457811013888e-05,0.00024041122995363068,0.00018467740487514346,0.0,0.0009203459996133426,0.0007600217587336128,0.0018208356588973026,0.00072224057753767,0.00031283968588258573,0.0,0.0,0.00014147932176118648,0.00035668264216748643,0.004640549752658255,7.334348123985444e-05,0.0025584295540517833,0.002122250762306641,0.00019788907618434592,0.0,0.0,0.0,0.0,0.0,0.0,0.0002558620858634777,0.00010515419189413336,7.910537525429736e-05,0.0,0.00014928846525670935,5.7274931031006455e-05,0.0,0.0,6.184737390209596e-05,0.0002804632105984776,0.0002567448335415771,4.1279499311111814e-05,0.0,7.312960792667573e-05,7.387322125286351e-05,0.00010910486592620282,0.000548296289032027,0.00030832936955144065,6.799402034127512e-05,8.536585124547647e-05,0.00033413286765235714,0.0,0.0,0.0,0.002697906904705444,0.0003382037565734132,0.0,0.0,0.0004039732181232822,0.0001690025829124856,0.0019062867441488488,0.0001745843617865489,0.0011869098979076893,0.001643195702937278,0.0,0.00033678473707531427,0.0,6.465862112157204e-05,0.0005471848770867984,0.000150854332293526,0.0002586744026631825,0.0,0.0009344321326794754,0.0,0.0,0.0,0.0001235281624841158,0.00014831050687616628,0.0006894765070985057,0.00042163991382770656,0.0,0.00018114001674026024,0.0,0.0003879987308598502,0.0009898418519443133,0.0,0.0,0.00033863328659385723,0.0,0.0002696757153520833,0.0,0.0013101932421357054,0.0,0.0013190062389096223,0.0,0.003412640751989631,0.0,0.0,0.0007039186110515722,0.0,0.0
Christensenellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.00010211241494582435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033352299662487713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027259058620968053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28579433887712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015347416894576806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008063629058881628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporolactobacillaceae,0.0,0.0,0.0,0.0,0.00033642287488295906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001001575264378205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012563824266965655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.240290941872578e-05,0.0,0.0,0.0,0.0,0.0,9.909206053879683e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045819991235978593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entomoplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002146673345396779,0.00011129335026238743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012657568532980847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moraxellaceae,0.0027111575079550344,0.0027618991307598257,0.003889744254608034,0.004382908141285172,0.0024518863720539835,0.0025045540446250927,0.0019238782356750363,0.0015320528021958942,0.05238137515969602,0.002289582670300537,0.0033953660890938637,0.01836162535992671,0.0010491809128089025,0.01690126573313547,0.0020422465893040424,0.008307094249944434,0.0026145077438042017,0.0026656004059907794,0.01272580370096352,0.0015599390793967027,0.013482397962151001,0.002487682678597588,0.001027164221582538,0.22024580382527967,0.10615122440974542,0.03244995380799965,0.04447328926787864,0.004625355282599862,0.0004780208452485569,0.021692437081932543,0.04207246183856006,0.0011151361631289878,0.021034342196446978,0.009112534009463106,0.07131886302387662,0.0010895990998268663,0.06252899080403741,0.09457157075541879,0.06767741317708084,0.009181530735026052,0.0,0.0005763264389876484,0.011842931076413214,0.004810966872732588,0.002349406100089355,0.0007566087834552701,0.0010643418296890693,0.0022662926537085426,0.01636954835772805,0.01055277086321391,0.25040601888649133,1.224003312497648,0.010111749305277291,0.0016502254039028393,0.08295892823462764,0.006863941872818048,0.0011059086143799003,0.0018525467345125517,0.054915771254837174,0.011601548642405098,0.0017305704830818671,0.03883573302323172,0.0004957595263925145,0.002134110919083088,0.003552325720183422,0.021269516186878636,0.002571075391333816,0.009375016508618541,0.0009563997815844083,0.007734533181905646,0.001998551080438708,0.24260474063161702,0.027429137957774463,0.01737775681608649,0.23526258686391413,0.0,0.0021809858981677115,0.0016485507913821737,0.00131078527956102,0.0035435171765223505,0.0011892918384180614,0.004806954492449971,0.0010262752242609233,0.0028940969109094695,0.0015181827159172902,0.012309708750696218,0.0014331374955218442,0.003965002384250528,0.4690310933310941,0.003494335482381447,0.012287249753861442,0.010213736481792865,0.004896189935469241,0.011456299215250453,0.0022286049597403995,0.1387930678688974,0.25369405406608403,0.008852152344545708,0.016590195896767895,0.0031636521651786974,0.014123014464295739,0.007731896149906483,0.018813870545215074,0.03063731834740272,0.00222828491599637,0.003096532052804205,0.01482480222793298,0.005882133041485994,0.008683672838247171,0.0023783530006529544,0.0017805475260594355,0.007113109776826028
