,avrB_RI-1,avrB_RI-2,avrB_RI-3,avrB_RI-4,avrB_RI-5,avrB_RI-6,avrB_RII-1,avrB_RII-2,avrB_RII-3,avrB_RII-4,avrB_RII-5,avrB_RII-6,avrB_RIII-1,avrB_RIII-2,avrB_RIII-3,avrB_RIII-4,avrB_RIII-5,avrB_RIII-6,avrB_RIV-1_,avrB_RIV-2,avrB_RIV-3,avrB_RIV-4,avrB_RIV-5,avrB_RIV-6,avrB_RV-1,avrB_RV-2,avrB_RV-3,avrB_RV-4,avrB_RV-5,avrB_RV-6,avrB_RVI-1,avrB_RVI-2_,avrB_RVI-3,avrB_RVI-4,avrB_RVI-5,avrB_RVI-6,control_1,control_2,control_3,control_4,control_6,C_RI-1,C_RI-2,C_RI-3,C_RI-4,C_RI-5,C_RI-6,C_RII-1,C_RII-2,C_RII-3,C_RII-4,C_RII-5,C_RII-6,C_RIII-1,C_RIII-2,C_RIII-3,C_RIII-4,C_RIII-5,C_RIII-6,C_RIV-1,C_RIV-2,C_RIV-3,C_RIV-4,C_RIV-5,C_RIV-6,C_RV-1,C_RV-2,C_RV-3,C_RV-4,C_RV-5,C_RV-6,C_RVI-1_,C_RVI-2_,C_RVI-3_,C_RVI-4,C_RVI-5_,C_RVI-6,EV_RI-1,EV_RI-2,EV_RI-3,EV_RI-4,EV_RI-5,EV_RI-6,EV_RII-1,EV_RII-2,EV_RII-3,EV_RII-4,EV_RII-5,EV_RII-6,EV_RIII-1,EV_RIII-2,EV_RIII-3,EV_RIII-4,EV_RIII-5,EV_RIII-6,EV_RIV-1,EV_RIV-2,EV_RIV-4,EV_RIV-5,EV_RIV-6,EV_RV-1,EV_RV-2,EV_RV-3,EV_RV-4,EV_RV-5,EV_RV-6,EV_RVI-1,EV_RVI-2,EV_RVI-3,EV_RVI-4,EV_RVI-5,EV_RVI-6
Thelephoraceae,0.0,0.0,1.3174018001019732e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punctulariaceae,0.0,8.630695140686296e-06,2.8130405048285955e-05,0.00014791904259584676,4.355203548550552e-05,0.0,0.0,0.0,1.5616804996986802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.018584158346317e-05,0.0,0.0,5.1907049506338844e-05,0.0,3.5672818649628054e-05,0.0,0.0,0.0,0.0,6.614469696121168e-05,0.0,0.0001458676722105391,3.78122315863712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992195648880152e-06,0.0,0.0,2.127903119356259e-05,0.0,0.0,0.0,0.0,0.0,1.2198489486607589e-05,0.0,0.0,0.0,0.0,3.1102816167624764e-05,0.0,0.0,9.691618688220775e-06,0.0,9.525215094606229e-06,0.0,0.0,0.0,0.0,4.820632507361298e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.81962984638458e-05,0.0,0.0,1.6001354410108633e-05,0.0,0.0,1.2998954795507226e-05,0.0,1.8435251088491757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6124281280351915e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013847956933234296,4.700157988428399e-05,0.0,0.000208467992934179,0.0,0.0,0.0,0.0,0.0
Coniochaetaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microascaceae,0.0,1.4823854262055802e-05,0.0,3.175773060976893e-05,9.350478384549898e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2765747493931674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.915417872054468e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.786946211468501e-05,0.0,2.0878205435628587e-05,4.3296860891856114e-05,4.037211792191393e-06,2.6316769269396454e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.137075638441222e-06,0.0,0.0,0.0,0.0,3.433103240269516e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.6779007864229846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0699478018629833e-05,0.0,0.0,1.6483228598404418e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.748350415631671e-05,0.0,0.0,0.0,6.155275480403294e-06,0.0,0.0,0.0,0.0,1.1011585379566487e-05,1.153805064846387e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6993130640970076e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0364336761615456e-05,0.0,5.9676520743415134e-05,0.0,1.7005477087464546e-05,0.0,0.0,0.0
Pseudeurotiaceae,1.7410630942040812e-05,5.583708472085508e-05,8.492972651808502e-05,0.00023924400000865107,4.2264591476054936e-05,0.0,4.200647695961231e-05,2.3893753306277986e-05,4.04137488103414e-05,1.0414867989007757e-05,0.0,2.7334955921097524e-05,0.0,0.0,0.00010290222359830204,0.0,0.0,0.00032163953206469474,2.9559429226907976e-05,0.0,2.164546457038853e-05,0.0,5.606845252410908e-05,0.00040298097990720003,0.00026640626447412946,0.00015001260119334775,2.2271601108160786e-05,4.590511652823435e-05,5.21861811464965e-05,6.578312909706777e-05,0.0007988012990064801,1.352676896613366e-05,0.000440395418672637,0.000244629748143892,0.0008272600114180946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9393631656517343e-05,1.4589437492677036e-05,0.0,1.3766667089554879e-05,2.1126479041103162e-05,0.0,0.0,0.0,0.0,1.578385239722431e-05,1.5226390697027988e-05,0.0,0.0,4.087340741586851e-05,4.024451224610738e-05,2.5280628562168977e-05,1.6247232792846837e-05,2.5080331303806177e-05,1.5744059702028745e-05,1.232485294758316e-05,5.4122736919492484e-05,0.00013979026243352604,0.0,0.0008292935008257355,9.356259073017274e-05,3.591169162506267e-05,0.0,0.0001490098996579891,0.0,0.0007031545254029397,6.439733394338203e-05,0.00018241857468911604,0.00015152763588550564,0.0,0.00011387447523167626,2.2496814491305387e-05,1.1925016576728978e-05,5.0458768039042545e-05,3.709617025679708e-05,0.0,0.0,0.000143614758026357,3.314841141923148e-05,6.636382844897331e-05,0.0,2.2782350748653527e-05,2.735296890535299e-05,0.0,1.944080647943352e-05,0.0,1.6703864580371444e-05,3.380269337161329e-05,0.0,0.0,0.00015134493139361765,0.0,0.0,0.0,4.9736405140287224e-05,0.0,0.0003624592326631115,0.0,0.00012163243656427489,0.0,0.0,0.0,0.0,2.596480085671814e-05,5.831543330703595e-05,0.0
Leucosporidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cryptococcaceae,0.0,6.959810308488108e-05,0.0001361064988478587,0.00011928222011076654,0.0001580420293661319,0.0,0.0,0.0,0.0,0.0,4.076733235576389e-05,1.1357213516955332e-05,0.0,0.0,0.00010688534930775114,0.0,0.0,0.0,3.684433406130525e-05,0.0,0.0,0.0,3.494324567705463e-05,8.371590291363083e-05,0.0,2.876663431200349e-05,0.0,0.0,0.0,0.00016399068909246775,0.0001066784392817417,0.0,0.00015683732108517765,0.0001219674452136144,3.790947718740819e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4173181353724464e-05,0.0,0.0,5.1478363529760986e-05,0.0,0.0,0.0,0.0,0.0,3.934754802154872e-05,0.0,0.0,0.0,0.0,2.5081374913357466e-05,0.0,1.0125677123131313e-05,1.5630682477530152e-05,0.0,1.5362306077407207e-05,0.0,5.808049819547799e-05,0.0,0.00020673448424693325,0.0,0.0,3.25359001327909e-05,6.191110208631069e-05,0.0,0.00029214885524110027,4.013401047520142e-05,4.547510612089045e-05,9.443576858722369e-05,0.0,6.45176254970756e-05,0.0,0.0,8.385907101165258e-05,1.1559625177845986e-05,0.0,1.551689011146203e-05,3.580170699669573e-05,4.1317818911739056e-05,0.0,0.0,4.259557256205972e-05,0.0,5.283302023757149e-05,0.0,0.0,2.0820522682953966e-05,0.0,1.7838877399262976e-05,0.00022754800514891604,0.0,0.0,7.784610106159503e-05,0.0,6.19939144267722e-05,0.0,0.0003011914054977167,0.0,7.580434133324165e-05,0.00010534136411148054,0.0,0.0,0.0,0.0,0.0,0.0
Lichtheimiaceae,1.5634389197988338e-05,1.0028111182334543e-05,5.4475107900730244e-05,4.296724020939285e-05,1.2650911860122186e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.058529860806235e-05,0.0,0.0,0.0,0.0,0.0,1.036217204334254e-05,0.0,0.0,0.0,0.0,7.685433959101836e-05,0.0,0.0,0.0,1.0924448663086832e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.8249686902798215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0728508452871746e-05,0.0,0.0,6.836493146929587e-06,0.0,6.055670148278509e-06,0.0,0.0,0.0,7.294840770541073e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.296085568824113e-06,0.0,0.0,0.0,8.32789985440961e-06,0.0,0.0,0.0,2.976659301713726e-05,0.0,1.5610630364380914e-05,0.0,0.0,0.0,0.0,0.0,1.4999727513000035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.414184705645126e-05,0.0,5.363370679147536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrakiaceae,0.0,6.157663669182538e-05,1.6724953817127254e-05,0.00019787710456518675,0.0,2.2171414933348435e-05,0.0,0.0,0.0,0.0,1.5028637647783171e-05,0.0,0.0,0.0,4.7283187545897236e-05,0.0,0.0,0.0,0.0,0.0,5.9676060925274865e-05,0.0,0.0,9.258412784529951e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.672573597662344e-05,2.2481291183651573e-05,1.6770127348867132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.911301337770998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8781178101930416e-05,0.0,0.0,1.119831421104546e-05,0.0,0.0,1.6989671739390715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4234746273453154e-05,4.2966416727666645e-05,0.0,0.0,0.0,0.0,0.0,1.4270426237793857e-05,0.0,0.0,6.955684656063183e-05,1.2784163797571333e-05,0.0,0.0,0.00011878280119901791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001165004256402467,0.0,0.0,0.0,0.0,0.0,0.0
Ordosporidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001393041644666728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
