,S1,S10,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S11,S110,S111,S112,S113,S114,S115,S116,S117,S118,S119,S12,S120,S121,S122,S123,S124,S125,S126,S127,S128,S129,S13,S130,S131,S132,S133,S134,S135,S136,S137,S138,S139,S14,S140,S141,S142,S143,S144,S145,S146,S147,S148,S149,S15,S150,S151,S152,S153,S154,S155,S156,S157,S158,S159,S16,S160,S161,S162,S163,S164,S165,S166,S167,S168,S169,S17,S170,S171,S172,S173,S174,S176,S177,S178,S179,S18,S180,S181,S182,S183,S184,S185,S186,S187,S188,S189,S19,S190,S191,S192,S2,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S3,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S4,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S5,S50,S51,S52,S53,S54,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S69,S7,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S8,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S9,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99
Acetobacteraceae,0.0,0.0,0.168506805569094,0.3797234506404261,0.45850742011771856,0.22376416854091624,0.17518273151765476,0.06418540851748783,0.0986508816374672,0.3171869153993901,0.3487165897588578,0.3302572523468735,0.0,0.33162461067368715,0.10013888922841147,0.128893630512875,0.6245208075614465,0.18978129247745934,0.0,0.06285826661205106,0.0475358100674628,0.08276539519360274,0.11180165142770437,0.0,0.2641816720246727,0.0,0.0,0.04805862354536213,0.08928045545665601,0.053085676217471144,0.0,0.041422914018178235,0.0,0.0,0.0,0.060002900694293135,0.06555276684430149,0.23973008782753444,0.04946619829355265,0.15499408798646497,0.1611472004571264,0.07701444693671003,0.08509794763346132,0.0,0.0,0.0,0.0,0.0,0.0,0.12583718248823272,0.0701374388812649,0.0,0.08312734298599458,0.04484130983521237,0.11156035289944313,0.12619913028062457,0.0,0.1183971445335114,0.04126204833267075,0.0,0.0,0.0,0.0,0.14610625886217626,0.0,0.0,1.0581342628468813,0.0,0.0,0.0,0.0,0.11964385359619442,0.0,0.13239245917266287,0.11345052470415613,0.0,0.04966728040043701,0.0,0.0,0.2371964532807915,0.0,0.0,0.5638744441251233,0.106573516648711,0.12459047342554969,0.0,0.23204875134455188,0.0,0.0,0.0,0.0,0.08477621626244633,0.0,0.09056738094071591,0.12153402540090741,0.05537801223595285,0.1509322294274009,0.15153547574805398,0.0,0.0,0.13605215351795824,0.1835075307426673,0.04041750348375644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07604925282366509,0.0,0.0,0.05811272888958015,0.0,0.0,0.0,0.0,0.04371525003665995,0.05698666909102773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05887684089574072,0.0,0.0,0.0,0.11863844306177262,0.0,0.0,0.0,0.23257156482245123,0.0,0.06406475925335722,0.0,0.054332385280154175,0.0,0.046248884583402886,0.06269740092654356,0.0,0.0,0.0,0.05859532594610262,0.0,0.0,0.07343518543416841,0.06515060263053277,0.0,0.07608946924504197,0.39613175056218997,0.0,0.042870705187745634,0.2242467655974387,0.08127738760265847,0.3654868374730134,0.0,0.28034867341817526,0.09185430642477582,0.0,0.0,0.0,0.07673293198707191,0.05642363919175152,0.10898650193132332,0.04025663779824895,0.045766287526880424,0.04371525003665995,0.0,0.16625468597198917,0.0,0.06446692346712594,0.10946909898784579,0.36444121051721473,0.15575819999262555,0.07271128984938471,0.10001823996428086,0.06515060263053277,0.0,0.18648354592455582,0.0
Acholeplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025545,0.0,0.0,0.0,0.0,0.016035,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidimicrobiaceae,0.0,0.0,0.0,0.07971907034234191,0.16525477643604686,0.0559331848590894,0.0,0.0,0.07894005662564149,0.07509692228991947,0.22196697501183668,0.06663163990177502,0.0,0.10163532290551343,0.052972932735627844,0.0,0.2588402909356561,0.0,0.0,0.0,0.0,0.0,0.0,0.06039953016817175,0.21942219687061534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08740533901378594,0.0,0.07462951405989923,0.08745727326156598,0.0,0.07411017158209895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07945939910344177,0.0,0.0,0.11248958069153914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05354420946120814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05209005052336738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05873763423921088,0.0,0.0,0.06445040149501388,0.0,0.0,0.0,0.07052670848527708,0.0,0.0,0.05827022600919063,0.0,0.2766018036764254,0.0,0.08023841282014219,0.07831684565228117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1148785560894204,0.0,0.0,0.08138096627130278,0.10553039148901547,0.08480862662478458,0.0,0.0,0.0,0.0,0.10511491750677525,0.0
Acidobacteriaceae,0.0,0.0,0.036785026614389274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032025220076381096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028739918824603715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457096638731546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adinetidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008103397311099107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agaricaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005207788842083993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albuginaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09817840512488724,0.0,0.0,0.00845187216942017,0.0,0.11444882858418612,0.0,0.0,0.0,0.0,0.012757542897237992,0.0,0.0,0.0,0.0,0.008110152270387009,0.0,0.0,1.3482672522986359,0.0,0.006583803388038892,0.0,0.00587758226337036,0.0,0.580595777253301,0.044487374588797056,0.016001603805392797,0.0,0.0,0.007959795514812419,0.026708827308431826,0.10075269503093705,0.0,0.013869271635425874,0.005285267771712883,0.0,0.0,0.06342776952587503,0.0,0.0,0.0,0.0,0.015559646069309908,0.0,0.02176072317043166,0.0,0.0,0.0,0.0,0.0,0.03762108275089075,0.0,0.7509226437273895,0.03655947293122773,0.1193878201915454,0.007855001412442249,0.0,0.0,0.02742416096374124,0.0180564794649122,0.0,0.026244088245746727,0.004815972443707342,0.0,0.0,0.0,0.0,0.005221480057226693,0.0,0.0,0.0,0.0,0.010342722277403658,0.007932457922889765,0.0,0.0,0.005873025998049918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012825886877044624,0.0048706476275526475,0.0,0.0,0.006406109040541649,0.009089749314282069,0.0,0.0,0.0,0.0,0.5314427869763713,0.0,0.012288247569232452,0.0,0.0,0.0642570098141955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662344289632674,0.04610484877755401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcaligenaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04126407318916366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04525977982377046,0.0,0.0,0.0,0.0803249062713946,0.08876443617252672,0.0,0.04768707824666244,0.0,0.0,0.040330496872666745,0.04384074382269515,0.0,0.0,0.0,0.0,0.0641927075223279,0.0,0.0421603064530007,0.0,0.0,0.04223499255832045,0.04230967866364021,0.07819635226978164,0.10840688187162181,0.0,0.0,0.0,0.0,0.04212296340034082,0.0,0.05160809877594948,0.04806050877326121,0.03962097887212909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04238436476895996,0.0,0.05900202320260505,0.046716158877505645,0.05242964593446677,0.06740421005107729,0.0,0.0,0.12719043735953975,0.07774823563786312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09290951501777302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04298185361151798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06617188931330137,0.0,0.0,0.0,0.0,0.06284835762657234,0.0,0.0472763046674038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04074127045192539,0.0,0.0,0.0,0.0,0.0,0.0
Alteromonadaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0353633107578859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04343759269393499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
