,NextMet100,NextMet101,NextMet102,NextMet103,NextMet104,NextMet105,NextMet106,NextMet107,NextMet108,NextMet109,NextMet10,NextMet110,NextMet111,NextMet112,NextMet113,NextMet114,NextMet115,NextMet116,NextMet117,NextMet118,NextMet119,NextMet11,NextMet120,NextMet121,NextMet122,NextMet123,NextMet124,NextMet125,NextMet126,NextMet127,NextMet128,NextMet129,NextMet12,NextMet130,NextMet131,NextMet132,NextMet133,NextMet134,NextMet135,NextMet136,NextMet137,NextMet138,NextMet139,NextMet13,NextMet140,NextMet141,NextMet142,NextMet143,NextMet144,NextMet145,NextMet146,NextMet147,NextMet148,NextMet149,NextMet14,NextMet150,NextMet151,NextMet152,NextMet153,NextMet154,NextMet155,NextMet156,NextMet157,NextMet158,NextMet159,NextMet15,NextMet160,NextMet161,NextMet162,NextMet163,NextMet164,NextMet165,NextMet166,NextMet167,NextMet168,NextMet169,NextMet16,NextMet170,NextMet171,NextMet172,NextMet173,NextMet174,NextMet175,NextMet176,NextMet177,NextMet178,NextMet179,NextMet17,NextMet180,NextMet181,NextMet182,NextMet183,NextMet184,NextMet185,NextMet186,NextMet187,NextMet188,NextMet189,NextMet18,NextMet190,NextMet191,NextMet192,NextMet193,NextMet194,NextMet19,NextMet1,NextMet20,NextMet21,NextMet22,NextMet23,NextMet24,NextMet25,NextMet26,NextMet27,NextMet28,NextMet29,NextMet2,NextMet30,NextMet31,NextMet32,NextMet33,NextMet34,NextMet35,NextMet36,NextMet37,NextMet38,NextMet39,NextMet3,NextMet40,NextMet41,NextMet42,NextMet43,NextMet44,NextMet45,NextMet46,NextMet47,NextMet48,NextMet49,NextMet4,NextMet50,NextMet51,NextMet52,NextMet53,NextMet54,NextMet55,NextMet56,NextMet57,NextMet58,NextMet59,NextMet5,NextMet60,NextMet61,NextMet62,NextMet63,NextMet64,NextMet65,NextMet66,NextMet67,NextMet68,NextMet69,NextMet6,NextMet70,NextMet71,NextMet72,NextMet73,NextMet74,NextMet75,NextMet76,NextMet77,NextMet78,NextMet79,NextMet7,NextMet80,NextMet81,NextMet82,NextMet83,NextMet84,NextMet85,NextMet86,NextMet87,NextMet88,NextMet89,NextMet8,NextMet90,NextMet91,NextMet92,NextMet93,NextMet94,NextMet95,NextMet96,NextMet97,NextMet98,NextMet99,NextMet9
Nephromataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090156950005108e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aphanopsidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peltigeraceae,0.0,0.0,1.5423872224200422e-11,0.0,0.0,0.0,6.524162856936135e-11,1.5151157262815566e-11,0.0,0.0,0.0,0.0,1.1264939238551164e-11,1.5253148497713593e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.090156950005108e-11,0.0,0.0,1.4660355696293668e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.022130081478702e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2769193432109173e-11,0.0,0.0,0.0,1.4171352081758158e-11,0.0,0.0,0.0,0.0,1.566700053567042e-11,0.0,0.0,1.28046862283346e-11,0.0,1.252905770385322e-11,0.0,0.0,1.089141612098403e-11,0.0,0.0,0.0,1.3784287208305531e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2887083196612122e-11,0.0,0.0,0.0,9.365751057419051e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.669439723882991e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.660938118777306e-11,0.0,0.0,0.0,0.0,1.7629628720724326e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068046753960264e-11,0.0,0.0,0.0,7.273094524329328e-12,0.0,0.0,0.0,0.0,1.2475638353151364e-11,0.0,1.4826932922006538e-11,0.0,0.0,0.0,1.4171051851425251e-11,0.0,0.0,0.0,4.756190199380207e-11,0.0,6.7490159546669675e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1763917007918294e-11,0.0,0.0,0.0,0.0,0.0,1.7016192591854215e-11,0.0,8.53586923765341e-12,1.816211921709497e-11,0.0,1.4864230563955744e-11,0.0,2.728919282742863e-11,0.0,0.0,0.0
Dacrymycetaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.480338936106448e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.783414846298856e-06,0.0,0.0,0.0,0.0,9.774705202972008e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microdochiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9702019523621572e-06,0.0,0.0,0.0,0.0,9.065719618079907e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8026415932040035e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0313312780079703e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2959544936983937e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nannizziopsiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.737879157819758e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entylomataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4362465700031035e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09305885535084e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.365847058495392e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajellomycetaceae,9.813547696151569e-05,5.077615141119594e-05,8.97391027819089e-05,8.669182735909989e-05,9.376426637945072e-05,8.352949576714564e-05,0.00010727502351357166,0.00010731595772040138,0.00010092091502738958,3.078357570098982e-05,6.603987595247143e-06,3.6323455765544084e-05,1.70978133703478e-05,3.472661691306867e-05,0.0001216950247517922,4.147762292018447e-05,0.0,4.404721337118893e-05,3.574509269253815e-05,3.8300074036454345e-05,3.5850304478819155e-05,1.7688136833043835e-05,7.712813264527353e-05,2.5959900038967875e-05,3.5311565111819737e-06,9.568135322076755e-06,1.6308436758446362e-05,5.75032608112712e-06,5.449824758221263e-05,4.189234487024889e-05,4.900243558297103e-06,2.707548966825259e-05,4.585764427872815e-05,2.2770646123698124e-05,3.489303376051381e-05,7.258069324643858e-05,2.757856563457639e-05,4.069832840230476e-05,6.950109675734095e-05,2.784939763741767e-05,4.464103265233808e-05,6.6213019043405315e-06,3.4498322085594165e-05,1.4017269830252812e-05,1.4366229807107715e-05,0.0,1.190684427239747e-05,2.498779759073517e-05,1.2435439716620207e-05,1.9151829380187128e-05,8.655671942463798e-05,1.5816581464505128e-05,4.808368738748528e-05,0.00012043443489415989,7.09218050596322e-06,3.592452148698585e-05,3.605834082713683e-05,3.859991745758581e-06,4.377645233837369e-05,4.9920104272463205e-05,3.2301592514722604e-05,4.187168080719631e-05,2.113591477119024e-05,1.5546946624973107e-05,0.00015773367896337293,0.0,4.31369743650632e-05,3.248365716364413e-05,1.3381101217091184e-05,5.1521640023574175e-05,2.1857840254233455e-05,3.450338700947421e-05,3.239137687322397e-05,5.4200124976912224e-05,3.169413312556142e-06,8.14457614263405e-06,3.882648396192378e-06,8.816471294135819e-05,3.3320737546704555e-06,2.0609576397308486e-05,7.674259686707861e-05,3.138248220518486e-05,0.0,6.853949593826599e-05,9.587652761075881e-06,1.5713383483225142e-05,2.85733968549393e-05,1.568925593935071e-05,6.311635364709434e-06,1.2300295148095474e-05,2.1520692890303683e-05,2.5917308725025395e-05,3.259981237918602e-05,4.0622953889878176e-05,1.9458069246253712e-05,2.9092503308413784e-05,4.9753355159436626e-05,3.719084212676615e-05,0.0,3.559525210426142e-05,2.539519986073605e-05,2.1310981967382805e-05,0.0,0.0,2.4351850223276345e-06,1.8664608740372732e-05,1.9295953062862186e-06,3.2774764691588874e-05,6.6435293258769234e-06,8.64853173028297e-06,1.5800679514678393e-05,2.997186631667162e-06,3.3794702165287696e-06,0.0,7.76039984339637e-06,2.2985603402240355e-05,0.0,2.4549491500242624e-05,4.098122264172596e-06,0.0,8.847675503433934e-06,1.3957894707072046e-05,3.418426330729515e-05,1.209548513259579e-05,1.4778194393388729e-05,0.0,1.6357942021299422e-05,2.5424072206842907e-05,2.520955450639731e-05,1.137658557048014e-05,0.0,5.0803412617259275e-06,9.520544622256903e-06,8.919358707351417e-06,1.5965771031888222e-05,9.852129595592487e-06,2.9819429396133915e-05,1.4893703913865176e-05,1.0478793762876358e-05,3.032194520880773e-06,1.625874591775492e-05,5.226751549590887e-06,1.0661597458136086e-05,3.7894011162888394e-06,0.0,5.6397861340513016e-05,1.3508923338237073e-05,2.334723990457608e-05,9.553801036950048e-06,0.0,1.6558546411370844e-05,3.0977198363593175e-05,2.5354736598750645e-05,8.940566325620174e-06,6.635120564530579e-05,3.78708010262769e-05,1.4193224973403314e-05,4.500834431269213e-05,0.0,2.6574012966897365e-05,0.0,3.58478039230497e-05,4.731573305397514e-05,2.0612505451204453e-05,2.797093433487987e-05,0.00012031497412873021,3.6533694145670554e-05,4.268162362840108e-05,1.863320289544523e-05,3.098317304265597e-05,4.809942678292401e-05,1.1370240442252332e-05,7.472199953253192e-05,5.7037858465108736e-06,1.2947578377676522e-05,3.150010614355216e-05,1.996794531067829e-05,2.0831016376327046e-05,2.2933628672847103e-05,2.090683398391557e-05,3.0560278094621176e-05,4.4148731126827874e-05,6.944917960180194e-06,5.165401766460611e-05,3.2238940765512365e-05,2.591131582487995e-05,3.21606657532055e-05,2.381134275377099e-05,4.888169465494728e-05,5.165138972372054e-05,3.4516055828190615e-05,0.00013068543178390053,2.1903488634339293e-05,0.0
Cryphonectriaceae,0.0,3.649527348800675e-11,0.0,0.0,0.0,0.0,0.0,3.030231452563113e-11,0.0,9.360849087423928e-12,0.0,0.0,0.0,7.626574248856796e-11,0.0,0.0,0.0,0.0,1.0869576086967393e-11,1.1646509702928518e-11,0.0,0.0,2.9037755848400035e-11,0.0,0.0,0.0,1.6117284577301086e-11,1.1365852317366013e-11,4.7875084711970205e-11,2.7600881428628248e-11,0.0,3.567751493835389e-11,1.2085371742771757e-11,0.0,1.149468346176324e-11,1.5939993448343894e-11,0.0,2.011065040739351e-11,0.0,0.0,2.5210167078869706e-11,0.0,0.0,1.385297255630551e-11,0.0,0.0,0.0,1.6463276061547102e-11,0.0,0.0,0.0,1.563119434923571e-11,3.456006949615255e-11,2.975570388575571e-11,0.0,1.4201379192502764e-11,4.276283858011981e-11,0.0,1.730533834904338e-11,1.7939995522894717e-11,2.5538386864218347e-11,1.1034906742568582e-11,0.0,0.0,4.251405624527447e-11,0.0,0.0,8.025728559587181e-11,0.0,1.566700053567042e-11,2.8802190902015786e-11,9.09305885535084e-12,5.12187449133384e-11,4.017363150666866e-11,0.0,1.0732150759072146e-11,1.5348558550867687e-11,2.178283224196806e-11,0.0,1.3578673530885292e-11,0.0,1.3784287208305531e-11,0.0,1.935318295123151e-11,0.0,1.2423364766226876e-11,1.4119243164514346e-11,2.480857794291415e-11,0.0,0.0,0.0,6.147247288789881e-11,2.5774166393224243e-11,1.147051707760406e-11,2.1977142892306286e-11,1.769323587946193e-11,1.8731502114838102e-11,0.0,0.0,2.638352848877576e-11,1.6731694116990783e-11,6.017484185419724e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.3131320227531639e-11,3.4188647051188736e-11,0.0,0.0,0.0,1.6729015988071142e-11,0.0,0.0,0.0,1.6174496942817895e-11,0.0,0.0,0.0,0.0,1.0394949991922604e-11,0.0,0.0,1.462100419834825e-11,0.0,0.0,4.982814356331917e-11,0.0,1.2592554012738226e-11,1.004158854436299e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06619539045583e-11,0.0,0.0,0.0,4.954383872945421e-11,0.0,0.0,9.441820352750186e-12,0.0,0.0,2.44912901869621e-11,5.011510437172098e-11,0.0,0.0,3.742691505945409e-11,1.4026865318499756e-11,0.0,0.0,1.0505014936555488e-11,0.0,2.8342103702850502e-11,1.558704748774827e-11,1.3580603345736455e-11,0.0,0.0,0.0,6.7490159546669675e-12,1.4731841590982323e-11,0.0,9.507130094047065e-11,0.0,0.0,2.254772569997216e-11,3.838745706730807e-11,0.0,1.3155933204511753e-11,1.1763917007918294e-11,1.5109881475672127e-11,0.0,0.0,2.908750743913003e-11,0.0,5.104857777556265e-11,1.2744426470413375e-11,8.53586923765341e-12,1.816211921709497e-11,4.7064497108396515e-11,0.0,6.80613075159098e-11,0.0,0.0,1.4431171006114977e-11,0.0
Glomeraceae,6.465681670352824e-05,3.649527348800675e-05,0.00010796710556940294,4.470036895684537e-05,0.0,3.302017658265871e-05,0.0,7.575578631407782e-05,3.32460049439469e-05,6.55259436119675e-05,0.0,5.384655949023534e-05,2.2529878477102328e-05,1.5253148497713591e-05,3.4362465700031036e-05,0.0,0.0,8.706186659771367e-05,1.0869576086967391e-05,2.3293019405857037e-05,6.540941700030649e-05,6.992325241295966e-05,5.8075511696800067e-05,1.4660355696293668e-05,2.7918140884096052e-05,6.303991083231555e-05,4.835185373190326e-05,3.4097556952098036e-05,2.3937542355985102e-05,5.520176285725649e-05,1.937123001964165e-05,0.0,4.834148697108703e-05,1.2859285710143187e-05,1.1494683461763239e-05,9.563996069006336e-05,0.0,0.00010055325203696755,7.849882304752134e-05,1.3761486575229479e-05,0.0,0.0,3.0305746799970736e-05,1.385297255630551e-05,3.786091293867925e-05,3.7427892358279845e-05,0.0,0.0,3.277248845290045e-05,1.892734962083503e-05,0.0001244249932235038,1.563119434923571e-05,0.0,0.00014877851942877854,1.4018105252055556e-05,9.940965434751935e-05,1.4254279526706606e-05,0.0,8.652669174521688e-05,5.3819986568684156e-05,0.0,2.206981348513716e-05,5.013163062252557e-05,3.6875327798617055e-05,7.085676040879079e-05,0.0,3.410509060767632e-05,6.420582847669746e-05,1.3224260514229339e-05,4.7001001607011256e-05,7.200547725503946e-05,6.365141198745587e-05,8.963280359834219e-05,4.0173631506668664e-05,1.252905770385322e-05,5.366075379536072e-05,0.0,3.267424836295209e-05,5.268829304195899e-05,4.0736020592655874e-05,6.276669700320614e-05,2.756857441661106e-05,0.0,5.805954885369453e-05,2.5267400796678622e-05,0.0,7.059621582257171e-05,1.2404288971457074e-05,1.2475312603888166e-05,1.6208163518715798e-05,4.8613594371158306e-05,5.122706073991567e-05,0.0,3.4411551232812176e-05,8.790857156922514e-05,8.846617939730963e-05,5.61945063445143e-05,4.642727494691854e-05,0.0,8.794509496258587e-06,2.5097541175486176e-05,1.2034968370839449e-05,0.0,0.0,0.0,1.4756671779066415e-05,7.627913608416799e-06,0.0,1.3131320227531639e-05,1.1396215683729578e-05,2.0820638382842693e-05,0.0,6.67971848032557e-05,3.3458031976142285e-05,1.5338879447765982e-05,2.2716187743930683e-05,0.0,3.234899388563579e-05,0.0,1.969427396862072e-05,1.74879427192929e-05,0.0,5.1974749959613014e-05,5.9768566071053775e-05,0.0,0.0,0.0,2.0100860085651775e-05,3.3218762375546115e-05,1.1243239917675198e-05,0.0,2.0083177088725978e-05,0.0,0.0,2.1038180342143086e-05,0.0,0.0,2.943826780522111e-05,1.0355971182563262e-05,0.0,1.2854540932785394e-05,1.3774635936372202e-05,0.0,1.4979941259455939e-05,0.0,7.431575809418131e-05,0.0,3.461037822417449e-05,2.832546105825056e-05,0.0,7.273094524329327e-06,2.44912901869621e-05,0.0,1.1781031203792955e-05,5.8287554773543815e-05,2.4951276706302723e-05,2.805373063699951e-05,1.4826932922006538e-05,0.0,1.0505014936555487e-05,0.0,1.417105185142525e-05,7.793523743874134e-05,1.3580603345736453e-05,0.0,0.0001426857059814062,3.094755470578614e-05,2.0247047864000904e-05,2.9463683181964646e-05,4.082668984425067e-05,6.33808672936471e-05,0.0,0.00011815388547545922,0.0,2.5591638044872046e-05,5.534380707503054e-05,3.288983301127938e-05,1.1763917007918292e-05,1.5109881475672125e-05,4.958828090075129e-05,0.0,0.00023270005951304024,0.0,5.1048577775562647e-05,2.5488852940826746e-05,8.535869237653409e-06,1.816211921709497e-05,3.137633140559768e-05,2.9728461127911487e-05,1.701532687897745e-05,5.4578385654857256e-05,0.00013595122091945605,0.0,0.0
