,NextMet100,NextMet101,NextMet102,NextMet103,NextMet104,NextMet105,NextMet106,NextMet107,NextMet108,NextMet109,NextMet10,NextMet110,NextMet111,NextMet112,NextMet113,NextMet114,NextMet115,NextMet116,NextMet117,NextMet118,NextMet119,NextMet11,NextMet120,NextMet121,NextMet122,NextMet123,NextMet124,NextMet125,NextMet126,NextMet127,NextMet128,NextMet129,NextMet12,NextMet130,NextMet131,NextMet132,NextMet133,NextMet134,NextMet135,NextMet136,NextMet137,NextMet138,NextMet139,NextMet13,NextMet140,NextMet141,NextMet142,NextMet143,NextMet144,NextMet145,NextMet146,NextMet147,NextMet148,NextMet149,NextMet14,NextMet150,NextMet151,NextMet152,NextMet153,NextMet154,NextMet155,NextMet156,NextMet157,NextMet158,NextMet159,NextMet15,NextMet160,NextMet161,NextMet162,NextMet163,NextMet164,NextMet165,NextMet166,NextMet167,NextMet168,NextMet169,NextMet16,NextMet170,NextMet171,NextMet172,NextMet173,NextMet174,NextMet175,NextMet176,NextMet177,NextMet178,NextMet179,NextMet17,NextMet180,NextMet181,NextMet182,NextMet183,NextMet184,NextMet185,NextMet186,NextMet187,NextMet188,NextMet189,NextMet18,NextMet190,NextMet191,NextMet192,NextMet193,NextMet194,NextMet19,NextMet1,NextMet20,NextMet21,NextMet22,NextMet23,NextMet24,NextMet25,NextMet26,NextMet27,NextMet28,NextMet29,NextMet2,NextMet30,NextMet31,NextMet32,NextMet33,NextMet34,NextMet35,NextMet36,NextMet37,NextMet38,NextMet39,NextMet3,NextMet40,NextMet41,NextMet42,NextMet43,NextMet44,NextMet45,NextMet46,NextMet47,NextMet48,NextMet49,NextMet4,NextMet50,NextMet51,NextMet52,NextMet53,NextMet54,NextMet55,NextMet56,NextMet57,NextMet58,NextMet59,NextMet5,NextMet60,NextMet61,NextMet62,NextMet63,NextMet64,NextMet65,NextMet66,NextMet67,NextMet68,NextMet69,NextMet6,NextMet70,NextMet71,NextMet72,NextMet73,NextMet74,NextMet75,NextMet76,NextMet77,NextMet78,NextMet79,NextMet7,NextMet80,NextMet81,NextMet82,NextMet83,NextMet84,NextMet85,NextMet86,NextMet87,NextMet88,NextMet89,NextMet8,NextMet90,NextMet91,NextMet92,NextMet93,NextMet94,NextMet95,NextMet96,NextMet97,NextMet98,NextMet99,NextMet9
Arteriviridae,1.9332388194354942e-06,1.6368130159371029e-06,2.7670426770215554e-06,2.673082063619353e-06,3.3248291591950365e-06,0.0,0.0,1.3590588064745562e-06,0.0,0.0,0.0,0.0,0.0,1.368207420244909e-06,3.0823131732927837e-06,0.0,0.0,1.115635633402131e-06,9.75000975000975e-07,1.044691920352688e-06,9.77870784154582e-07,1.5680289353606206e-06,3.907030049402225e-06,0.0,0.0,0.0,1.4457204265839074e-06,0.0,0.0,0.0,0.0,3.200273089970344e-06,1.0840578453266265e-06,2.306955856399688e-06,0.0,0.0,0.0,0.0,3.520672213681332e-06,0.0,0.0,0.0,1.3592127439786875e-06,0.0,0.0,1.678640972268851e-06,0.0,0.0,1.4698461071125852e-06,0.0,0.0,0.0,1.550019116902442e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5423405634674136e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.769600260522674e-07,0.0,0.0,9.383621201979319e-07,1.236450562585006e-06,0.0,0.0,0.0,1.1143758195305507e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.401078698504888e-07,6.940877604564322e-07,0.0,7.888675018143953e-07,7.504164811470366e-07,0.0,0.0,0.0,0.0,0.0,6.842238506749869e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9063430938022236e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.311504076591838e-06,0.0,0.0,1.4898614925432433e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3203063110641668e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2476624310716855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21818012011256e-06,0.0,8.532605217688091e-06,0.0,0.0,1.3214461907111145e-06,1.2207180263430951e-06,2.842631898120073e-06,0.0,0.0,0.0,0.0,1.2410848736575599e-06,1.180087208444704e-06,0.0,0.0,0.0,0.0,5.218298834579927e-06,0.0,0.0,1.1431750543960796e-06,0.0,0.0,0.0,1.3333214815868303e-06,1.5262748210442773e-06,2.447840596620348e-06,4.877929806590083e-06,0.0,0.0
Polyomaviridae,0.0,0.0,0.0,1.3365410318096766e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5411565866463918e-06,0.0,0.0,1.115635633402131e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1309360003317413e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.803925341543198e-06,0.0,0.0,0.0,0.0,8.155276463872126e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3724323362527435e-06,0.0,0.0,0.0,1.1485803546816135e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.238071081137537e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.940877604564322e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879487432323043e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056758498980228e-06,0.0,1.1190647602776772e-06,0.0,0.0,0.0,0.0,0.0,1.271143351072845e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2207180263430951e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3553563683677896e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chrysoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3590588064745562e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115635633402131e-06,0.0,0.0,0.0,1.5680289353606206e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550019116902442e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.156473793249703e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ophioviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1011051813253773e-06,0.0,0.0,9.75000975000975e-07,1.044691920352688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4053299480496365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1815349714659303e-06,0.0,9.383621201979319e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.090159853773225e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125310867127044e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caliciviridae,9.66619409717747e-06,0.0,0.0,1.3365410318096765e-05,0.0,1.4809549197322432e-05,0.0,0.0,1.4910833217360186e-05,0.0,0.0,1.6100121287580367e-05,0.0,6.841037101224546e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.511716749003708e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.189497660369885e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796063719893438e-06,0.0,0.0,0.0,0.0,0.0,1.4698461071125853e-05,0.0,0.0,0.0,7.750095584512209e-06,1.3345433192761437e-05,0.0,6.36931856783749e-06,1.2786088735455825e-05,0.0,0.0,1.6092175984036562e-05,0.0,4.9491556740420085e-06,7.494678778067572e-06,0.0,6.355851408668534e-06,0.0,0.0,7.199078517949702e-06,0.0,0.0,6.45889130977704e-06,1.2234710689874555e-05,1.1485803546816135e-05,6.005957910246965e-06,0.0,0.0,6.883828510064157e-06,0.0,0.0,0.0,9.383621201979318e-06,0.0,0.0,0.00014755834341166464,0.0,0.0,6.332480559284684e-06,0.0,0.0,0.0,0.0,4.595067348370436e-06,1.1559713627361072e-05,0.0,0.0,3.967708145969337e-06,3.360431479401955e-05,0.0,0.0,0.0,7.504164811470366e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.502963670649907e-06,0.0,0.0,0.0,7.254261878853826e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.5503327569040506e-06,0.0,0.0,0.0,7.4493074627162165e-06,5.042593103077326e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.283792494901141e-06,0.0,1.1190647602776773e-05,6.291049095347141e-06,6.6498794155199326e-06,0.0,0.0,0.0,0.0,6.990790798255098e-06,0.0,0.0,0.0,0.0,3.026933655668135e-06,0.0,0.0,0.0,0.0,2.6496008817871734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3045747086449819e-05,0.0,0.0,1.1431750543960797e-05,0.0,0.0,1.407228463541056e-05,0.0,0.0,0.0,0.0,0.0,0.0
Alphaflexiviridae,1.9332388194354942e-06,0.0,0.0,1.3365410318096766e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75000975000975e-07,0.0,9.77870784154582e-07,0.0,0.0,0.0,0.0,1.1309360003317413e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4298174123164472e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.402118133126443e-06,0.0,0.0,0.0,0.0,0.0,1.3687317787581955e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1143758195305507e-06,0.0,1.1126647207396996e-06,0.0,0.0,0.0,9.190134696740872e-07,0.0,0.0,0.0,1.5870832583877351e-06,2.5203236095514665e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.469312856416917e-07,0.0,0.0,0.0,0.0,0.0,7.84259049478032e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2863501087921593e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleolipoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2344053457980842e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.898311348084018e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7963163193020395e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6091494172899637e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tombusviridae,0.0,0.0,0.0,0.0,3.3248291591950365e-06,0.0,0.0,0.0,2.982166643472037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0310731065201625e-06,1.4298174123164472e-06,0.0,3.607850683086396e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1453966508601929e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4213159490600364e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mimiviridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picobirnaviridae,0.0,0.0,0.0,0.0,0.0,1.4809549197322432e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.511716749003708e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3951152365185365e-05,0.0,0.0,1.3345433192761437e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.726983254300964e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.470438802282161e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0665756522110114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
