	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/control_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D-5-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-6_RunId0091_LaneId1.R1.fq.report
Anaeromyxobacteraceae	0	3	1	15	9	7	1	6	6	3	4	1	3	5	12	63	40	12	4	10	4	38	3	6	9	3	11	1	1	0	5	8	1	3	2	1
Rhodanobacteraceae	0	27	4	65	65	51	27	39	303	31	17	22	18	9	38	635	622	39	8	14	9	961	57	29	35	15	61	27	6	4	59	18	11	10	16	40
Candidatus Paracaedibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Camptobasidiaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Diaporthaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphomicrobiaceae	1	86	11	100	100	367	13	43	59	23	8	11	17	33	103	1497	962	64	12	25	4	647	50	54	57	19	91	13	4	11	62	32	19	20	12	8
Botryosphaeriaceae	0	3	2	4	5	9	4	5	1	1	8	5	3	2	216	42	149	86	57	55	6	23	5	6	3	5	6	2	2	1	8	6	8	9	0	5
Verrucariaceae	0	1	0	8	0	0	7	0	0	0	0	5	0	0	7	3	13	12	5	3	0	5	0	0	0	0	0	1	0	0	2	1	0	1	0	0
Thiotrichaceae	0	3	0	0	1	0	0	0	1	0	0	0	0	1	5	4	10	5	3	3	0	6	2	2	0	1	0	0	0	0	1	0	2	0	0	0
Budviciaceae	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Harpellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cordycipitaceae	0	7	5	14	3	20	17	8	3	2	24	56	7	10	185	59	119	46	57	36	10	19	7	22	8	3	12	12	14	4	18	10	9	4	3	4
Xanthobacteraceae	0	9	1	22	10	11	6	5	11	4	1	6	5	6	18	173	113	16	4	5	7	111	20	11	9	13	10	3	2	2	7	4	11	4	2	4
Candidatus Desulfofervidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chionosphaeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionellaceae	0	1	0	3	3	4	0	6	1	2	1	1	1	0	81	42	53	26	23	20	1	12	2	7	9	2	8	1	3	5	1	0	3	5	1	1
Omphalotaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteriovoracaceae	0	1	0	0	1	0	0	2	0	0	0	0	0	0	2	2	2	1	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Pleistophoridae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halobacteriovoraceae	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	3	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Rhodobacteraceae	2	54	13	140	53	73	40	37	61	20	20	32	40	31	421	920	799	184	115	119	19	554	59	107	64	55	68	15	12	1	104	43	36	47	12	26
Savoryellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ajellomycetaceae	1	0	1	0	2	2	3	1	3	0	2	1	0	0	24	6	20	3	4	5	0	6	1	3	1	3	1	1	1	0	0	0	1	0	0	0
Lecanoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilletiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobiaceae	0	121	16	178	178	193	46	102	148	46	36	58	61	48	224	2380	1649	194	44	89	20	1058	126	142	118	79	209	31	20	11	140	65	54	71	22	20
Mrakiaceae	0	0	0	0	0	4	0	0	1	0	3	0	0	0	9	7	13	7	6	6	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	1
Coccocarpiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfarculaceae	0	1	0	0	0	1	2	3	0	0	0	2	0	0	10	14	10	1	2	0	1	14	3	5	1	0	2	0	0	0	1	0	0	1	0	0
Acidithiobacillaceae	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	3	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0
Debaryomycetaceae	0	20	19	22	20	39	30	17	8	13	19	14	15	21	196	80	135	71	51	37	23	37	35	25	17	20	24	12	20	10	19	27	7	16	5	9
