	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/control_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D-5-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-6_RunId0091_LaneId1.R1.fq.report
Nitrosopumilaceae	0	1	1	0	2	0	0	0	0	0	1	2	0	0	9	5	3	2	0	2	0	2	0	0	0	1	0	0	0	1	1	0	0	0	1	0
Cenarchaeaceae	0	2	1	3	2	3	1	1	2	2	4	0	0	6	6	4	8	3	2	2	2	0	5	1	2	3	3	5	2	0	1	0	1	2	2	0
Halobacteriaceae	0	1	2	8	1	6	0	3	4	0	1	3	1	1	16	23	29	11	7	5	0	13	1	5	2	1	1	0	1	1	9	1	1	3	2	0
Methanococcaceae	0	4	0	3	0	4	5	6	3	0	2	0	4	5	5	5	6	5	4	6	3	4	7	7	3	1	0	2	2	1	4	4	1	3	3	0
Methanoregulaceae	0	0	0	1	0	1	2	2	2	0	0	2	0	0	169	8	128	68	37	50	0	2	0	3	0	0	5	0	0	0	4	1	4	15	0	0
Haloarculaceae	0	2	0	11	1	4	7	3	4	0	3	1	1	2	37	38	45	16	10	3	1	30	7	11	7	3	6	1	1	1	4	1	1	3	1	1
Nanopusillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
None	0	16	6	4	5	16	6	13	6	8	7	5	3	5	57	38	48	27	22	15	4	28	10	14	8	11	6	9	3	3	14	10	4	11	4	3
Methanomicrobiaceae	0	0	0	0	5	5	0	0	2	0	0	1	0	0	5	5	10	1	4	2	0	1	1	1	1	1	2	1	1	0	1	2	0	0	0	0
Methanomassiliicoccaceae	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	3	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcaceae	0	2	0	6	2	5	2	3	1	1	4	0	1	1	27	17	32	11	16	12	2	9	1	1	2	0	4	1	1	2	5	3	3	2	4	1
Cuniculiplasmataceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fervidicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
Methanobacteriaceae	0	2	1	8	4	2	3	5	4	3	1	1	2	0	30	21	17	17	13	7	1	6	8	10	2	4	15	2	7	2	4	4	4	3	0	4
Methanopyraceae	0	0	0	1	0	0	0	0	0	2	0	0	0	2	4	5	2	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Methanocorpusculaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrodictiaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	2	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0
Picrophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
Methanosaetaceae	0	0	0	0	1	0	0	0	2	0	0	0	0	0	6	2	7	0	2	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Sulfolobaceae	0	3	0	1	0	2	4	7	4	1	3	0	0	0	24	19	23	6	9	6	1	7	5	2	5	3	3	2	1	0	4	1	5	1	2	2
Halorubraceae	0	0	1	7	1	8	3	4	2	1	3	0	0	2	25	48	24	6	6	2	0	25	4	3	3	4	7	1	2	1	1	4	0	7	1	1
Nanoarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldisphaeraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidilobaceae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanosarcinaceae	0	9	5	7	7	8	11	2	9	7	2	1	2	4	41	23	24	11	5	18	6	17	6	5	8	7	8	5	13	3	3	6	3	8	3	3
Thermoplasmataceae	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0
Natrialbaceae	0	6	5	24	17	19	5	8	3	10	5	5	6	5	55	98	100	34	21	14	6	78	7	6	6	4	12	5	7	4	12	5	8	4	1	4
Archaeoglobaceae	0	0	0	1	0	2	0	0	0	0	1	0	0	0	16	2	8	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Methanospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrososphaeraceae	0	2	0	2	1	2	0	1	0	1	1	0	0	0	9	7	6	2	2	2	1	2	3	2	0	1	0	0	0	0	1	0	1	0	0	0
Ferroplasmaceae	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
Haloferacaceae	0	3	0	3	5	4	0	3	3	2	2	1	1	1	25	24	30	8	6	4	3	28	2	4	1	1	0	1	4	1	1	0	2	1	0	4
Thermoproteaceae	0	5	1	3	1	1	1	1	0	0	0	2	0	1	10	6	16	7	1	2	1	5	2	2	1	1	0	0	0	0	3	0	1	4	0	0
Thermofilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanocellaceae	0	0	0	4	1	0	0	3	0	1	0	0	0	1	10	5	7	3	2	4	0	4	2	1	0	0	0	1	0	0	0	0	1	0	0	0
Methanocaldococcaceae	0	2	1	3	1	2	1	2	0	2	5	1	0	2	7	5	4	1	3	2	1	1	4	1	4	3	4	0	1	1	4	5	1	1	1	1
Desulfurococcaceae	0	0	0	0	1	4	0	0	1	1	0	0	0	0	13	4	8	2	7	2	0	1	1	1	1	2	0	0	0	0	1	1	0	0	0	1
