	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/control_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D-5-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-6_RunId0091_LaneId1.R1.fq.report
Acidaminococcaceae	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	5	1	4	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0
Marinilabiliaceae	0	1	0	0	1	1	0	0	1	0	0	0	0	0	4	9	6	3	0	1	0	3	2	2	0	4	0	1	0	1	2	1	1	0	0	0
Enterobacteriaceae	612	3226	2604	1231	1228	1860	1135	2395	588	1469	2497	2604	892	1994	710	784	899	2127	1377	1069	1376	3689	2048	2742	3354	1964	1509	1899	1327	655	4570	3264	1681	1614	2527	692
Orbaceae	0	5	1	1	4	4	2	2	1	3	5	0	3	1	6	8	6	2	1	2	2	3	3	6	5	0	5	2	1	3	1	1	4	2	1	0
Aquificaceae	0	0	0	0	2	0	0	1	0	0	0	0	0	0	8	2	4	3	1	2	0	1	1	1	0	2	1	0	0	0	1	0	0	0	0	0
Chlorobiaceae	0	3	1	9	4	2	4	0	3	0	2	2	1	4	35	34	43	11	8	8	1	30	4	4	3	11	4	0	2	1	12	2	3	4	1	1
Halomonadaceae	0	13	4	35	18	25	20	11	18	4	12	6	19	14	71	152	150	45	11	12	9	120	29	30	14	16	28	7	7	2	31	12	8	22	3	7
Merismopediaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eubacteriaceae	0	2	0	0	0	3	0	0	0	0	0	0	0	1	12	16	5	11	0	1	0	3	2	2	4	0	1	0	2	1	0	6	0	0	0	3
Bradyrhizobiaceae	0	121	16	178	178	193	46	102	148	46	36	58	61	48	224	2380	1649	194	44	89	20	1058	126	142	118	79	209	31	20	11	140	65	54	71	22	20
Desulfuromonadaceae	0	2	1	6	0	3	1	0	3	1	1	3	2	0	8	22	18	5	0	6	0	21	6	5	0	0	9	0	0	0	1	1	0	5	0	2
Solibacteraceae	0	3	0	2	2	1	1	2	1	0	0	0	1	0	7	12	11	2	1	9	0	9	1	0	0	1	1	1	0	0	0	0	0	0	1	0
Syntrophaceae	0	6	7	11	5	13	10	9	4	7	7	6	3	9	13	7	7	2	4	7	10	12	7	5	6	3	5	8	12	2	4	13	1	6	2	0
Borreliaceae	0	2	3	3	3	6	5	4	1	4	2	1	1	7	27	10	8	5	8	4	3	3	5	7	3	4	7	8	6	0	5	2	1	3	0	3
Yersiniaceae	1	13	8	18	13	26	25	12	9	13	7	11	11	16	110	90	100	49	26	29	5	85	36	48	28	29	30	13	5	7	58	22	16	20	7	18
Alcaligenaceae	11	30	12	110	44	72	26	35	43	21	24	26	25	29	480	543	928	229	30	45	16	497	319	428	226	188	172	34	9	12	340	149	121	173	47	118
Competibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Nitrospiraceae	0	2	1	4	3	4	4	9	4	3	2	1	3	2	16	15	12	10	6	3	3	12	3	6	2	1	4	3	4	1	5	0	2	4	0	0
Xanthomonadaceae	194	483	286	317	229	563	186	377	350	418	652	326	252	156	2770	3896	2409	2927	363	255	270	2753	2635	4321	1999	2123	1490	502	241	296	3331	1637	1010	1360	678	823
Actinomycetaceae	0	6	2	34	8	17	10	14	9	4	5	5	4	6	50	126	101	29	16	8	4	102	10	11	11	3	12	2	5	5	9	9	8	5	4	2
Thiotrichaceae	0	3	0	0	1	0	0	0	1	0	0	0	0	1	5	4	10	5	3	3	0	6	2	2	0	1	0	0	0	0	1	0	2	0	0	0
Aerococcaceae	0	3	6	1	0	9	4	1	1	2	2	0	0	0	17	13	13	6	10	7	1	3	5	4	0	2	4	1	1	3	1	2	0	1	1	0
Kofleriaceae	0	7	1	13	1	5	3	4	1	0	1	1	4	0	9	35	34	5	3	4	0	21	3	5	4	2	4	1	2	2	7	3	4	4	1	1
Gallionellaceae	0	5	0	0	1	0	0	0	0	1	0	1	1	2	5	32	21	5	4	3	0	19	4	2	5	3	2	1	3	0	1	1	1	3	1	1
Chromobacteriaceae	0	8	7	14	6	12	4	10	5	4	1	4	3	0	17	109	59	17	7	4	2	61	14	15	11	14	13	1	2	1	21	4	6	10	1	6
Halobacteriovoraceae	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	3	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Vulgatibacteraceae	0	0	0	5	6	2	0	4	0	0	2	0	0	2	7	13	6	2	1	1	0	15	2	2	0	0	0	0	0	0	2	2	0	1	0	1
Cellvibrionaceae	0	4	2	4	2	12	2	2	9	2	3	3	2	2	17	20	21	11	6	3	0	10	2	3	4	4	6	1	5	1	5	4	8	8	2	2
Fortieaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	7	2	1	1	0	0	3	0	3	1	0	0	0	0	0	0	0	1	0	0	0
Erysipelotrichaceae	0	7	6	3	1	4	3	1	4	2	1	0	2	0	13	13	11	4	6	5	2	4	2	6	1	3	2	2	4	0	1	1	2	0	0	1
Thermomonosporaceae	0	1	1	12	3	14	2	3	2	3	1	4	0	3	14	51	50	11	6	5	8	41	3	6	3	1	8	2	1	0	8	2	3	2	3	1
