	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/control_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D-5-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-6_RunId0091_LaneId1.R1.fq.report
Saprolegniaceae	0	5	2	16	6	27	4	12	9	7	2	2	4	5	1912	159	1340	730	462	519	4	28	28	20	10	9	18	3	1	1	34	13	57	63	5	6
Myzocytiopsidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peronosporaceae	122	37	10	147	179	5989	982	2073	1596	1411	34	21	882	314	570726	34260	376889	208256	141915	145923	52	1495	5871	3980	1383	935	4877	173	38	163	7490	1534	16502	17671	887	1004
Haliphthoraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albuginaceae	0	0	3	2	3	25	3	17	3	8	0	1	4	5	2674	191	1905	1014	705	678	0	10	21	22	4	6	16	0	1	1	49	7	76	89	3	6
Lagenidiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pythiaceae	0	0	0	0	0	2	1	2	3	0	0	0	0	0	357	15	273	140	136	144	0	1	8	4	0	0	3	0	0	0	4	1	10	8	0	0
Olpidiopsidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eurychasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salisapiliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
None	5	4	3	6	10	184	36	66	83	43	7	3	34	10	17969	1169	11895	6805	4751	4803	1	62	184	112	44	28	146	6	1	5	244	40	559	631	31	32
