	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/control_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D0-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D11-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D2-I-6_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-C-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-1_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-2_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-3_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-4_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D-5-I-5_RunId0091_LaneId1.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/hpa_infections//centrifuge_output/D5-I-6_RunId0091_LaneId1.R1.fq.report
Arenaviridae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaflexiviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peribunyaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Poxviridae	0	0	0	0	0	0	0	1	0	2	0	0	0	0	6	5	7	2	1	0	1	1	0	3	0	1	1	0	0	0	1	0	0	0	0	0
Nudiviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tombusviridae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphoviridae	1	4	1	8	5	3	9	8	4	5	0	1	3	4	30	37	35	14	5	6	1	57	6	3	12	3	3	6	0	1	5	5	1	2	2	0
Marseilleviridae	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Tospoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Circoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phycodnaviridae	0	0	0	0	0	1	0	0	0	0	1	0	0	0	41	2	26	13	9	9	0	1	1	0	0	2	0	0	0	1	1	0	1	0	0	0
Pneumoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Orthomyxoviridae	0	0	0	0	0	2	0	0	1	0	0	0	0	0	8	1	1	1	1	3	0	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0
Myoviridae	0	3	2	4	1	1	1	7	4	1	2	0	1	3	31	18	22	18	6	11	1	15	7	2	4	1	4	3	4	2	12	3	2	3	0	1
Iflaviridae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	2	0
Adenoviridae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Flaviviridae	0	1	0	0	2	1	0	1	0	2	0	0	0	0	20	1	13	8	5	0	0	1	1	2	1	0	0	0	0	0	2	1	1	0	0	0
Sphaerolipoviridae	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paramyxoviridae	0	0	1	2	0	1	0	2	0	0	0	0	0	0	1	0	5	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0
Ampullaviridae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
Rhabdoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	1	0	0
Narnaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Geminiviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
Lavidaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bromoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microviridae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bornaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Iridoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dicistroviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baculoviridae	0	1	0	1	3	4	2	2	1	1	0	0	1	0	5	8	11	0	3	3	2	1	2	6	0	2	1	0	1	0	0	2	4	1	1	0
