,control_RunId0091_LaneId1,D0-C-1_RunId0091_LaneId1,D0-C-2_RunId0091_LaneId1,D0-C-3_RunId0091_LaneId1,D0-C-4_RunId0091_LaneId1,D0-I-1_RunId0091_LaneId1,D0-I-2_RunId0091_LaneId1,D0-I-3_RunId0091_LaneId1,D0-I-4_RunId0091_LaneId1,D0-I-6_RunId0091_LaneId1,D11-C-1_RunId0091_LaneId1,D11-C-2_RunId0091_LaneId1,D11-C-3_RunId0091_LaneId1,D11-C-4_RunId0091_LaneId1,D11-I-1_RunId0091_LaneId1,D11-I-2_RunId0091_LaneId1,D11-I-3_RunId0091_LaneId1,D11-I-4_RunId0091_LaneId1,D11-I-5_RunId0091_LaneId1,D11-I-6_RunId0091_LaneId1,D2-C-4_RunId0091_LaneId1,D2-I-1_RunId0091_LaneId1,D2-I-2_RunId0091_LaneId1,D2-I-3_RunId0091_LaneId1,D2-I-4_RunId0091_LaneId1,D2-I-5_RunId0091_LaneId1,D2-I-6_RunId0091_LaneId1,D5-C-1_RunId0091_LaneId1,D5-C-3_RunId0091_LaneId1,D5-C-4_RunId0091_LaneId1,D5-I-1_RunId0091_LaneId1,D5-I-2_RunId0091_LaneId1,D5-I-3_RunId0091_LaneId1,D5-I-4_RunId0091_LaneId1,D5-I-5_RunId0091_LaneId1,D5-I-6_RunId0091_LaneId1
Anaeromyxobacteraceae,0.0,8.406868190244423e-06,3.6500605521808102e-06,4.21658728336697e-05,2.789832589588084e-05,1.6470386401624432e-05,2.768551006101491e-06,1.6677876351020604e-05,2.3063456003729954e-05,1.2864532454313248e-05,1.4210540215780771e-05,4.720930711016196e-06,1.4600105221043444e-05,2.0646800272565126e-05,5.7868513908853056e-05,0.0003421623889274656,0.00016532112173480283,7.993008759965824e-05,2.2044129787452894e-05,4.681280444525562e-05,1.2940826466728196e-05,0.0001321113725741419,7.830562454980609e-06,2.391408285006526e-05,4.469808610839946e-05,1.493709465998074e-05,3.150391874856743e-05,3.983444693115649e-06,3.0833996305643405e-06,0.0,2.2471716405894808e-05,3.0281963251541844e-05,1.0947984318080257e-05,1.2998154887442534e-05,1.4895616614407716e-05,8.661661723364565e-06
Rhodanobacteraceae,0.0,9.031513896544574e-05,1.7427852166295473e-05,0.00021810569167581714,0.00024050981110248774,0.00014323848894826104,8.922778251922764e-05,0.00012940108360516984,0.0013902713423859525,0.00015867856081908365,7.209137765039137e-05,0.0001239749991499904,0.00010456613189033722,4.436179070756448e-05,0.00021874014063500314,0.004116700309740362,0.0030686159887740832,0.00031008264272864043,5.2626775580588855e-05,7.82305713273603e-05,3.475588394577573e-05,0.003988079458076447,0.00017759484911102142,0.00013796987913757157,0.00020749052499495659,8.914971197278186e-05,0.0002085381590770625,0.00012838265792155138,2.2083345808734192e-05,2.62991493911215e-05,0.00031652065773868875,8.132992147965409e-05,0.0001437509285362875,5.171830224332719e-05,0.000142243450797883,0.0004135661802625898
Candidatus Paracaedibacteraceae,0.0,7.610564591143558e-06,1.4685887229519612e-06,1.8379061065608534e-05,2.0266983732367723e-05,1.2070244087158207e-05,7.518936581018862e-06,1.0904210702902199e-05,0.00011715366849507156,1.3371328995079926e-05,6.07490717899178e-06,1.044697211924744e-05,8.811449662962052e-06,3.738224592533519e-06,1.8432524026956758e-05,0.0003469010175763182,0.00025858234240126824,2.6129661185393298e-05,4.434688130557219e-06,6.5922371698584075e-06,2.928765904825955e-06,0.0003360625544950552,1.49653434152489e-05,1.1626275382364143e-05,1.748455530947663e-05,7.512357828628094e-06,1.7572836044479442e-05,1.0818391265150755e-05,1.8608921116783388e-06,2.216144241441528e-06,2.667217188331151e-05,6.853409380794462e-06,1.2113425713499128e-05,4.358134021337424e-06,1.1986395441174267e-05,3.484988412413529e-05
Camptobasidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,6.950336502117159e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7484476487109383e-06,0.0,0.0,0.0
Diaporthaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.285612293584943e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyphomicrobiaceae,0.0010412152165705296,0.000276975398102438,4.61447730991782e-05,0.00032307220522036114,0.0003562586306344823,0.000992433859000202,4.136429644305809e-05,0.00013736867693452153,0.0002606483065171504,0.00011335230313788099,3.266407350082616e-05,5.968292124540983e-05,9.508530696128618e-05,0.0001566125109731122,0.0005708579699440773,0.009344224860840357,0.004569547378550337,0.0004899353515795505,7.600531697304838e-05,0.00013450376111331542,1.4872766990280875e-05,0.0025851791776881254,0.00014999316452108755,0.00024735802202183,0.00032535016741802743,0.00010872470549584513,0.00029953187588127616,5.951574913643543e-05,1.4174885772931914e-05,6.963384069218052e-05,0.00032024893272191113,0.00013921107267959458,0.0002390658420232456,9.959102660691691e-05,0.00010271633066971514,7.963811392816298e-05
Botryosphaeriaceae,0.0,1.6079193269290837e-06,1.3962400203023361e-06,2.1506010032691398e-06,2.964392154778596e-06,4.050216835648779e-06,2.1180808689092197e-06,2.6582114280537897e-06,7.351960289090288e-07,8.201679030803388e-07,5.435889261490268e-06,4.514687015162601e-06,2.7924538399871634e-06,1.5795841422148871e-06,0.00019922546624060638,4.3628574926640004e-05,0.0001177835493995929,0.00010956138439603248,6.00810952165125e-05,4.9244458485079897e-05,3.7126438487105692e-06,1.5293766711198952e-05,2.4961560054550476e-06,4.573869261447921e-06,2.849690471490006e-06,4.761512184331818e-06,3.286647753642077e-06,1.5237678443076726e-06,1.1794779569361262e-06,1.05348394424667e-06,6.8767976469976465e-06,4.343854887544165e-06,1.6751518094584008e-05,7.4581820429358705e-06,0.0,8.283258981318008e-06
Verrucariaceae,0.0,3.795693614363175e-07,0.0,3.0460567362202253e-06,0.0,0.0,2.6249965371045682e-06,0.0,0.0,0.0,0.0,3.1972441130543388e-06,0.0,0.0,4.572327072999277e-06,2.206943121364115e-06,7.277628292613403e-06,1.0826509333746e-05,3.7323394741779846e-06,1.902234613343098e-06,0.0,2.3545329807005147e-06,0.0,0.0,0.0,0.0,0.0,5.395565355374631e-07,0.0,0.0,1.2175152297205964e-06,5.127104943088617e-07,0.0,5.868655531202599e-07,0.0,0.0
Thiotrichaceae,0.0,9.23871345727108e-06,0.0,0.0,3.4065352949376827e-06,0.0,0.0,0.0,4.224257605626548e-06,0.0,0.0,0.0,0.0,4.537953188063241e-06,2.6497710270117814e-05,2.3874207850969582e-05,4.541984118160852e-05,3.6599597259691546e-05,1.8169019120357775e-05,1.543345547761258e-05,0.0,2.2923721189794753e-05,5.736922168375098e-06,8.760113518514673e-06,0.0,5.471698232318933e-06,0.0,0.0,0.0,0.0,4.939050882421021e-06,0.0,2.4062537382663566e-05,0.0,0.0,0.0
Budviciaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0255962334669088e-06,0.0,0.0,3.866981267351095e-06,0.0,0.0,0.0,1.049814460989446e-05,1.1823421906609232e-05,4.498728909236107e-06,0.0,5.998662658051035e-06,0.0,0.0,7.568469677634817e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.892014241109387e-06,0.0,0.0,0.0,0.0,0.0
