,control_RunId0091_LaneId1,D0-C-1_RunId0091_LaneId1,D0-C-2_RunId0091_LaneId1,D0-C-3_RunId0091_LaneId1,D0-C-4_RunId0091_LaneId1,D0-I-1_RunId0091_LaneId1,D0-I-2_RunId0091_LaneId1,D0-I-3_RunId0091_LaneId1,D0-I-4_RunId0091_LaneId1,D0-I-6_RunId0091_LaneId1,D11-C-1_RunId0091_LaneId1,D11-C-2_RunId0091_LaneId1,D11-C-3_RunId0091_LaneId1,D11-C-4_RunId0091_LaneId1,D11-I-1_RunId0091_LaneId1,D11-I-2_RunId0091_LaneId1,D11-I-3_RunId0091_LaneId1,D11-I-4_RunId0091_LaneId1,D11-I-5_RunId0091_LaneId1,D11-I-6_RunId0091_LaneId1,D2-C-4_RunId0091_LaneId1,D2-I-1_RunId0091_LaneId1,D2-I-2_RunId0091_LaneId1,D2-I-3_RunId0091_LaneId1,D2-I-4_RunId0091_LaneId1,D2-I-5_RunId0091_LaneId1,D2-I-6_RunId0091_LaneId1,D5-C-1_RunId0091_LaneId1,D5-C-3_RunId0091_LaneId1,D5-C-4_RunId0091_LaneId1,D5-I-1_RunId0091_LaneId1,D5-I-2_RunId0091_LaneId1,D5-I-3_RunId0091_LaneId1,D5-I-4_RunId0091_LaneId1,D-5-I-5_RunId0091_LaneId1,D5-I-6_RunId0091_LaneId1
Acidaminococcaceae,0.0,1.2210337104793856e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.674895848455885e-05,0.0,0.0,0.0,0.0,0.0,4.20248091554772e-05,0.00011832496780470063,1.8008727339751908e-05,0.00011609237736593495,0.0,0.0,0.0,1.5148557465185118e-05,0.0,1.736669390690046e-05,0.0,0.0,2.4958389606105645e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marinilabiliaceae,0.0,5.851236011619459e-06,0.0,0.0,6.472473278269539e-06,4.912927783277352e-06,0.0,0.0,8.026159163410302e-06,0.0,0.0,0.0,0.0,0.0,4.027686944292842e-05,0.00010206312505142576,5.17790686839049e-05,4.1723903276883114e-05,0.0,9.774606701678833e-06,0.0,2.1777724284838507e-05,1.0900246796062989e-05,1.664436025290946e-05,0.0,4.158526776231372e-05,0.0,8.317511769376883e-06,0.0,1.1500918775592692e-05,1.8768556371037658e-05,7.903667715652941e-06,2.2859609064978274e-05,0.0,0.0,0.0
Enterobacteriaceae,1.1353579718694147,0.018511771982336812,0.019463085691382033,0.007085957352987722,0.007794794072594248,0.008961678052650869,0.006434562687891758,0.013632191011296728,0.00462829579709379,0.012899271794488184,0.018165183305328972,0.02517324785658344,0.008889354605925142,0.016860814560748415,0.007011163225481357,0.008719235912475956,0.007608493772022493,0.029011299226906553,0.015539518359741331,0.010247383988762003,0.009115722620551122,0.026262490539649155,0.010946424878702602,0.022378994793836173,0.03410987456285854,0.020024284529397748,0.008849765826529705,0.015490106443674304,0.008378598594696512,0.007387710177716269,0.04205843289990195,0.02529966885870419,0.03768534762692113,0.014319723396021118,0.03853934930269388,0.012273769377921448
Orbaceae,0.0,5.3318983752112425e-05,1.3889894420026353e-05,1.0697165401598653e-05,4.718397232649239e-05,3.5814971897449164e-05,2.107081820778656e-05,2.1155260152923922e-05,1.462756413092619e-05,4.895452965750198e-05,6.759576328494147e-05,0.0,5.55590563889153e-05,1.571381470512629e-05,0.00011010605672795684,0.00016534100853601803,9.436663694215006e-05,5.0694157985926404e-05,2.0971613412422585e-05,3.5628171201787296e-05,2.4622428965369305e-05,3.96896014789159e-05,2.9798323670032963e-05,9.100234946532887e-05,9.449640750205781e-05,0.0,5.4493006968840166e-05,3.0317100455954198e-05,1.1733530091082558e-05,6.28807964791497e-05,1.7102717275644323e-05,1.440432516056923e-05,0.00016664528614396116,3.297534318690629e-05,2.8341795860303938e-05,0.0
Aquificaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorobiaceae,0.0,3.061251291641013e-05,1.3291218949879296e-05,9.21249124555306e-05,4.515027171209168e-05,1.7135646203560836e-05,4.032526810988721e-05,0.0,4.199128193960138e-05,0.0,2.5872913435800315e-05,3.43813056415385e-05,1.7721458992255426e-05,6.014610204165114e-05,0.0006146018611310111,0.0006724118835906967,0.000647144926556597,0.0002668003968155381,0.00016054164109115238,0.00013637017241657066,1.1780582506974609e-05,0.0003797891958985269,3.801862776501724e-05,5.8053340321686056e-05,5.425408159802919e-05,0.00019943542674516755,4.1715420720024665e-05,0.0,2.245559437380944e-05,2.0056846329520004e-05,0.00019638677133850284,2.756695389395446e-05,0.00011959696658553535,6.310811198286278e-05,2.712022156690861e-05,3.154031030149454e-05
Halomonadaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merismopediaceae,0.0,0.0,0.0,0.0,3.733026714014775e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1614928569279127e-05,0.0,9.954599955516077e-06,8.021480035486315e-06,0.0,5.637546323885402e-06,0.0,0.0,0.0,4.7998530693361665e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eubacteriaceae,0.0,2.0323428130109627e-05,0.0,0.0,0.0,2.5596523840495643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4973962430259251e-05,0.000209843884216168,0.00031511254223862384,7.49363167992501e-05,0.0002656903096082636,0.0,1.6975346440236642e-05,0.0,3.782089916227458e-05,1.893022106101395e-05,2.8905897719722542e-05,7.203779259373213e-05,0.0,1.0385463420248601e-05,0.0,2.236216247361873e-05,1.9973394997384004e-05,0.0,8.235676486012183e-05,0.0,0.0,0.0,9.42272377683745e-05
Bradyrhizobiaceae,0.0,0.0006311066487618157,0.00010869872588599324,0.0009313099428436243,0.0010269753930315425,0.0008452155115078514,0.00023703624707259094,0.0005277084795358396,0.0010588617311145785,0.0003671427745167785,0.0002380441423800023,0.0005096359098868453,0.0005525466722350017,0.000368916764722083,0.0020105436373902413,0.0240587510750384,0.01268508580936306,0.002405111276322477,0.0004513256810395501,0.0007754594053626726,0.0001204304805988646,0.0068461542107091196,0.000612134207872567,0.0010534046356645214,0.0010907691022593294,0.0007321100547887688,0.0011140959137726403,0.00022983961591625134,0.00011477946956230503,0.0001127703662134184,0.0011711126670439112,0.0004579433949222375,0.001100353750757367,0.0005725628994164021,0.0003049689136210801,0.0003224301281874206
Desulfuromonadaceae,0.0,1.471739105955172e-05,9.584907361785296e-06,4.4290332082087934e-05,0.0,1.853595017110339e-05,7.270099917659054e-06,0.0,3.028183862679821e-05,1.1260575915067252e-05,9.32907205113374e-06,3.719090372305906e-05,2.555951314879029e-05,0.0,0.00010130687551637901,0.0003137633775676255,0.00019535687870232603,8.745545383308447e-05,0.0,7.375708773133568e-05,0.0,0.00019171838124065792,4.1125463344338094e-05,5.2331156676059534e-05,0.0,0.0,6.768653052071455e-05,0.0,0.0,0.0,1.1801958730910554e-05,9.939897172582487e-06,0.0,5.688769117169702e-05,0.0,4.5490327642903375e-05
Solibacteraceae,0.0,2.185060175464702e-11,0.0,1.461265041988355e-11,1.6113682156523732e-11,6.1155414131621856e-12,7.195843220421918e-12,1.4449361562184056e-11,9.990846785808713e-12,0.0,0.0,0.0,1.2649224322368721e-11,0.0,8.773811246341445e-11,1.6939560157544685e-10,1.181653649731196e-10,3.462487402821612e-11,1.4323928070275253e-11,1.0950560082821275e-10,0.0,8.132578817971957e-11,6.784234741034906e-12,0.0,0.0,1.2941184889970876e-11,7.443909028881027e-12,1.0353518293760892e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.9357873774506244e-11,0.0
Syntrophaceae,0.0,3.82702987119357e-05,5.8156160618467986e-05,7.038176260585289e-05,3.5277943166267805e-05,6.962203583301825e-05,6.301590057382216e-05,5.694159484160975e-05,3.499699414884684e-05,6.832323327234808e-05,5.660388693896981e-05,6.447279453670889e-05,3.3231779979815484e-05,8.459075084753916e-05,0.00014269279802677773,8.653411932505808e-05,6.585124802580419e-05,3.032191714448235e-05,5.017536927660416e-05,7.458651535774187e-05,7.363760250156433e-05,9.495885564370673e-05,4.1587935446962296e-05,4.535969248512781e-05,6.78258565302321e-05,3.399881273202776e-05,3.2594139204789385e-05,7.2534796482198e-05,8.421872847743934e-05,2.5074109477587258e-05,4.0918890600495854e-05,0.00011200438133539605,2.4919067402098608e-05,5.917105621135829e-05,3.390440318746579e-05,0.0
