,control_RunId0091_LaneId1,D0-C-1_RunId0091_LaneId1,D0-C-2_RunId0091_LaneId1,D0-C-3_RunId0091_LaneId1,D0-C-4_RunId0091_LaneId1,D0-I-1_RunId0091_LaneId1,D0-I-2_RunId0091_LaneId1,D0-I-3_RunId0091_LaneId1,D0-I-4_RunId0091_LaneId1,D0-I-6_RunId0091_LaneId1,D11-C-1_RunId0091_LaneId1,D11-C-2_RunId0091_LaneId1,D11-C-3_RunId0091_LaneId1,D11-C-4_RunId0091_LaneId1,D11-I-1_RunId0091_LaneId1,D11-I-2_RunId0091_LaneId1,D11-I-3_RunId0091_LaneId1,D11-I-4_RunId0091_LaneId1,D11-I-5_RunId0091_LaneId1,D11-I-6_RunId0091_LaneId1,D2-C-4_RunId0091_LaneId1,D2-I-1_RunId0091_LaneId1,D2-I-2_RunId0091_LaneId1,D2-I-3_RunId0091_LaneId1,D2-I-4_RunId0091_LaneId1,D2-I-5_RunId0091_LaneId1,D2-I-6_RunId0091_LaneId1,D5-C-1_RunId0091_LaneId1,D5-C-3_RunId0091_LaneId1,D5-C-4_RunId0091_LaneId1,D5-I-1_RunId0091_LaneId1,D5-I-2_RunId0091_LaneId1,D5-I-3_RunId0091_LaneId1,D5-I-4_RunId0091_LaneId1,D-5-I-5_RunId0091_LaneId1,D5-I-6_RunId0091_LaneId1
Saprolegniaceae,0.0,2.722377908023186e-06,1.4183894385404956e-06,8.738869263727371e-06,3.6137017672246378e-06,1.2343403784341856e-05,2.151681294584997e-06,6.480912668541425e-06,6.721730080420623e-06,5.832251133404772e-06,1.3805305329781254e-06,1.8345225140405135e-06,3.7823363477691953e-06,4.011605153887694e-06,0.0017914900295641378,0.0001677854388889032,0.001076065169935751,0.0009447509275316648,0.0004946982425534671,0.0004720602600287716,2.514359874855488e-06,1.8913855353470293e-05,1.4200222795643145e-05,1.5488091253102183e-05,9.649656241280726e-06,8.706684590015047e-06,1.001635763375268e-05,2.321910472834344e-06,5.990943723083038e-07,1.0701960110467983e-06,2.9690026284535524e-05,9.560988974068995e-06,0.00012124796166535741,5.303547055387639e-05,7.235422873259243e-06,1.0097593724540095e-05
Myzocytiopsidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peronosporaceae,0.012888459845139337,1.2090524845686163e-05,4.256283186015992e-06,4.818563833118888e-05,6.470220941959098e-05,0.0016432003067686288,0.0003170256948816795,0.000671922598275575,0.0007153794636207968,0.000705553925058258,1.4085100820100113e-05,1.1560519945578081e-05,0.0005005342063381223,0.0001511968859853041,0.32093655577800184,0.021697491398421285,0.18164032090389215,0.16175473843594484,0.09119934428223697,0.07965606625861828,1.9617145444820218e-05,0.0006060776192084902,0.001786957524934324,0.0018497626135635442,0.0008009382688284101,0.0005428588666242882,0.0016287525002749521,8.035915125055361e-05,1.3662930491082306e-05,0.00010469259255571669,0.0039253510735867535,0.0006770953744775185,0.021066927258278276,0.008927955690231443,0.0007703401898426608,0.0010140640290097255
Haliphthoraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2726326582738241e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albuginaceae,0.0,0.0,3.3456399341892153e-06,1.7177410985747801e-06,2.84128477322314e-06,1.7972298870454488e-05,2.5376496289407433e-06,1.4437642909936138e-05,3.523321431859204e-06,1.0481431843183675e-05,0.0,1.4423992960773645e-06,5.9477485218037885e-06,6.3082752114757125e-06,0.003939856118583309,0.0003169443123545743,0.002405587771921582,0.002063596930961116,0.0011870799245037615,0.0009697331202658777,0.0,1.0622200225771882e-05,1.6747457069468063e-05,2.6790636718911962e-05,6.069658895232064e-06,9.12754545315472e-06,1.4000700057053954e-05,0.0,9.42079799280484e-07,1.682890192062931e-06,6.728530052957519e-05,8.095617052575798e-06,0.0002542176117122897,0.00011781710175933525,6.826649733216009e-06,1.587853184562247e-05
Lagenidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9208877712120923e-06,0.0,6.585204276653091e-07,1.5919198622994795e-06,8.780795595150558e-07,3.72937077610121e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5804461384484183e-07,0.0,0.0,0.0,0.0,0.0
Pythiaceae,0.0,0.0,0.0,0.0,0.0,1.1700573676064712e-06,6.883731796889438e-07,1.3822637123064838e-06,2.867251589173295e-06,0.0,0.0,0.0,0.0,0.0,0.00042805612100218604,2.0256032773003963e-05,0.00028054492128368034,0.00023186141958237824,0.0001863559606385979,0.0001676094741407003,0.0,8.644263961403576e-07,5.191981089514146e-06,3.964002159629057e-06,0.0,0.0,2.136311410864349e-06,0.0,0.0,0.0,4.469898323361992e-06,9.411643168550788e-07,2.7221094209977258e-05,8.618304848747245e-06,0.0,0.0
Olpidiopsidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurychasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salisapiliaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
