	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-8_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-9_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Control_1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Control_2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-10_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-2_1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-2_2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-8_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tj2-9_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tjor-10_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tjor-2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tjor-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tjor-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tjor-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tjor-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tjor-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Tjor-9_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-10_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-8_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/ULL-9_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-10_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-8_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Var-9_RunId0094_LaneId7.R1.fq.report
Helicobacteraceae	23	37	0	13	0	153	5	0	1	0	0	0	0	2	2	2	2	0	12	0	3	6	113	66	0	1	25	6	2	25	4	3	30	7	2	0	0	0	3	1	15	0	6	2	21	1	13	17	4	4
Haliscomenobacteraceae	3	6	1	4	0	29	2	0	0	0	0	0	0	0	0	0	4	0	5	2	2	3	36	3	0	0	5	1	1	7	4	4	25	12	5	0	0	1	7	0	5	0	12	3	19	4	1	2	1	6
Jiangellaceae	50	4	11	132	0	610	40	0	0	0	0	3	7	14	5	17	37	6	66	27	24	19	149	50	0	1	49	16	7	65	44	23	326	135	38	0	0	7	64	1	141	2	51	17	87	22	123	21	57	66
Carnobacteriaceae	9	26	1	7	0	64	2	0	0	0	0	0	0	1	0	2	3	0	2	1	0	2	46	19	0	0	4	0	1	8	3	0	10	4	2	0	0	0	2	0	5	0	2	0	8	2	2	6	2	2
Kiritimatiellaceae	2	0	1	1	0	16	1	0	0	0	0	0	0	0	0	0	1	1	5	0	1	0	18	10	0	0	5	0	1	3	0	0	8	6	2	0	0	0	1	0	2	1	0	0	6	0	1	5	3	2
Eubacteriaceae	3	12	1	7	0	48	2	0	0	0	0	0	2	1	0	1	6	0	3	0	1	0	32	17	0	0	8	0	0	8	5	4	19	2	4	0	0	0	4	0	7	0	3	1	5	2	6	2	6	3
Wenzhouxiangellaceae	3	0	0	7	0	19	1	0	0	0	0	0	0	2	1	1	0	0	9	3	0	2	10	2	0	0	5	1	2	9	7	3	32	17	5	0	0	0	3	1	11	0	5	4	13	2	9	5	2	6
Colwelliaceae	7	15	1	9	0	60	4	0	0	0	0	0	2	3	1	0	6	0	5	3	1	1	58	23	0	1	13	2	0	6	5	0	27	2	0	0	0	0	2	0	10	1	2	3	6	7	7	7	7	7
Beijerinckiaceae	22	8	2	54	0	233	26	0	0	0	0	2	5	12	3	6	28	1	58	16	14	9	112	34	0	0	28	5	3	75	42	25	204	109	34	0	0	7	35	2	117	4	67	13	70	26	56	63	56	60
Verrucomicrobiaceae	6	0	1	14	0	37	3	0	0	0	0	0	5	0	2	1	2	0	8	4	1	1	15	6	0	0	7	0	0	6	4	2	40	17	8	0	0	0	3	2	10	1	8	0	10	2	9	0	3	7
Veillonellaceae	6	3	2	2	0	25	5	0	0	0	0	0	0	0	0	1	2	1	1	0	0	2	15	8	0	0	1	0	2	4	12	1	26	4	0	0	0	0	1	0	9	2	1	0	5	4	4	2	0	4
Hydrogenophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteriaceae	5	7	1	2	0	23	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	8	4	0	0	1	0	0	1	0	0	4	0	2	0	0	0	3	0	3	0	2	0	6	0	0	1	2	4
Desulfovibrionaceae	17	10	3	51	0	263	33	0	0	2	0	4	14	7	6	4	23	5	50	26	6	17	164	68	0	0	34	7	3	51	43	14	220	69	34	0	0	3	13	0	77	3	58	9	62	7	60	28	26	44
Chitinophagaceae	41	22	7	108	0	449	24	0	0	0	0	0	27	4	10	3	27	1	74	13	12	23	133	57	0	1	15	11	9	64	27	24	442	56	30	0	1	1	50	2	99	2	137	26	188	64	19	27	5	70
Micropepsaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oleiphilaceae	0	1	0	2	0	6	0	0	0	0	0	0	0	1	1	0	1	0	1	0	2	0	14	6	0	0	3	0	0	6	1	0	7	2	0	0	0	0	0	0	1	0	0	1	1	2	3	0	0	2
Dehalococcoidaceae	0	7	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	7	0	0	4	0	0	6	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ignavibacteriaceae	0	7	0	3	0	24	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	13	4	0	0	2	0	0	0	2	1	6	0	0	0	0	0	0	0	1	0	3	0	1	0	1	2	0	0
Kofleriaceae	17	1	3	18	0	94	6	0	0	0	0	1	6	2	5	0	15	0	18	8	7	5	38	13	0	0	13	3	1	24	17	1	112	36	11	0	0	2	13	1	41	0	23	7	20	3	34	25	20	23
Puniceicoccaceae	1	0	0	1	0	7	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	3	8	0	0	3	0	0	4	0	2	6	6	1	0	0	0	0	0	0	0	4	1	2	1	0	1	1	1
Acidaminococcaceae	1	0	0	3	0	5	2	0	0	0	0	0	0	1	2	2	1	0	0	2	1	1	8	10	0	0	1	0	2	5	0	2	6	5	1	0	0	0	2	1	1	0	0	1	3	1	1	0	1	0
Muribaculaceae	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	2	1	11	1	0	0	0	0	1	0	1	0	0	0	3	1	1	0	0	0
Immundisolibacteraceae	5	3	1	5	0	47	3	0	0	0	0	1	0	1	1	0	5	1	8	5	1	3	23	13	0	0	9	3	7	6	14	3	49	13	5	0	0	1	10	0	18	1	9	5	5	8	13	14	11	3
Actinopolysporaceae	9	0	3	19	0	68	8	0	0	0	0	0	3	1	4	4	5	1	5	9	1	3	21	6	0	0	8	2	1	10	9	4	44	10	8	0	0	2	7	0	22	1	8	2	7	4	19	2	4	9
Microbacteriaceae	2302	93	80	3054	0	38377	2305	2	19	21	4	117	180	113	61	140	887	80	804	317	184	258	4594	459	1	20	346	181	218	1422	435	321	7512	2105	1132	0	0	54	284	37	2286	77	930	162	1082	200	5763	557	997	1024
Enterobacteriaceae	895	3443	16094	3412	0	27709	216	53	47	45	52	30	1501	91	50	130	1304	65	381	114	204	77	52759	5776	2	38	632	88	267	3436	1078	145	4452	1264	313	0	68	16	360	265	918	70	644	9462	13248	98	340	1655	923	623
Dietziaceae	6	1	2	12	0	45	4	0	0	0	0	0	1	3	1	2	2	0	8	3	1	3	53	23	0	0	9	0	1	5	6	0	29	19	1	0	0	2	5	1	25	0	8	4	6	1	17	6	9	5
Ichthyobacteriaceae	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0
Sporolactobacillaceae	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	2	2	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1
Hahellaceae	3	2	1	4	0	28	5	0	0	0	0	0	0	0	1	1	1	0	9	2	1	1	39	20	0	0	3	0	0	9	2	0	15	6	1	0	0	0	1	0	15	1	1	2	6	2	3	4	3	2
Cardiobacteriaceae	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
