	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-1_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-2_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-3_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-4_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-5_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-6_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-7_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-8_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Adal-9_RunId0094_LaneId7.R1.fq.report	/ebio/abt6_projects9/metagenomic_controlled/data/processed_reads/swedish_samples/centrifuge_output/Control_1_RunId0094_LaneId7.R1.fq.report
Acanthisittidae	0	5	0	4	0	17	2	0	0	0
Lythraceae	0	1	0	0	0	4	0	0	0	0
Nototheniidae	17	24	1	7	0	91	5	0	0	0
Eosentomidae	0	0	0	0	0	1	0	0	0	0
Veronicellidae	0	1	0	0	0	0	0	0	0	0
Inocelliidae	0	0	0	0	0	2	0	0	0	0
Sapotaceae	0	0	0	0	0	1	0	0	0	0
Termitidae	0	5	0	1	0	9	1	0	0	0
Ascalaphidae	0	0	0	0	0	0	0	0	0	0
Phalacrocoracidae	0	3	0	2	0	14	0	0	0	0
Gekkonidae	8	20	0	8	0	71	2	0	0	0
Schizophyllaceae	2	2	1	10	0	24	8	0	0	0
Monacanthidae	0	0	0	0	0	1	0	0	0	0
Mustelidae	8	18	2	7	0	90	9	0	0	0
Nidulariaceae	0	0	0	0	0	1	0	0	0	0
Halacaridae	0	0	0	0	0	0	0	0	0	0
Epipyropidae	0	0	0	0	0	1	0	0	0	0
Hydrangeaceae	0	0	0	1	0	3	0	0	0	0
Diaporthaceae	2	0	0	4	0	6	1	0	0	0
Rutaceae	3	11	0	5	0	68	1	0	0	0
Saxifragaceae	0	0	0	0	0	2	0	0	0	0
Rutstroemiaceae	0	0	0	0	0	0	0	0	0	0
Farreidae	0	0	0	0	0	0	0	0	0	0
Rangomaramidae	1	0	0	0	0	0	0	0	0	0
Eulophidae	2	0	0	0	0	1	0	0	0	0
