,Adal-1_RunId0094_LaneId7,Adal-2_RunId0094_LaneId7,Adal-3_RunId0094_LaneId7,Adal-4_RunId0094_LaneId7,Adal-5_RunId0094_LaneId7,Adal-6_RunId0094_LaneId7,Adal-7_RunId0094_LaneId7,Adal-8_RunId0094_LaneId7,Adal-9_RunId0094_LaneId7,Control_1_RunId0094_LaneId7,Control_2_RunId0094_LaneId7,Tj2-10_RunId0094_LaneId7,Tj2-1_RunId0094_LaneId7,Tj2-2_1_RunId0094_LaneId7,Tj2-2_2_RunId0094_LaneId7,Tj2-3_RunId0094_LaneId7,Tj2-4_RunId0094_LaneId7,Tj2-5_RunId0094_LaneId7,Tj2-6_RunId0094_LaneId7,Tj2-7_RunId0094_LaneId7,Tj2-8_RunId0094_LaneId7,Tj2-9_RunId0094_LaneId7,Tjor-10_RunId0094_LaneId7,Tjor-2_RunId0094_LaneId7,Tjor-3_RunId0094_LaneId7,Tjor-4_RunId0094_LaneId7,Tjor-5_RunId0094_LaneId7,Tjor-6_RunId0094_LaneId7,Tjor-7_RunId0094_LaneId7,Tjor-9_RunId0094_LaneId7,ULL-10_RunId0094_LaneId7,ULL-1_RunId0094_LaneId7,ULL-2_RunId0094_LaneId7,ULL-3_RunId0094_LaneId7,ULL-4_RunId0094_LaneId7,ULL-5_RunId0094_LaneId7,ULL-6_RunId0094_LaneId7,ULL-7_RunId0094_LaneId7,ULL-8_RunId0094_LaneId7,ULL-9_RunId0094_LaneId7,Var-10_RunId0094_LaneId7,Var-1_RunId0094_LaneId7,Var-2_RunId0094_LaneId7,Var-3_RunId0094_LaneId7,Var-4_RunId0094_LaneId7,Var-5_RunId0094_LaneId7,Var-6_RunId0094_LaneId7,Var-7_RunId0094_LaneId7,Var-8_RunId0094_LaneId7,Var-9_RunId0094_LaneId7
Archaeosporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1327103834312202e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambisporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morchellaceae,0.0,0.0,0.0,3.7085362709465604e-06,0.0,4.3835189525403735e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5659876507896186e-07,1.3310855931971833e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gromochytriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agaricaceae,6.959511660457486e-06,1.8536616375377408e-05,0.0,2.4060625079007154e-05,0.0,2.085588817652553e-05,4.582219232079364e-06,0.0,0.0,0.0,0.0,0.0,1.5760209112330433e-06,2.203580356533953e-06,2.5036473063282713e-06,2.1770861877920133e-06,5.918541629491301e-07,0.0,4.475220360189751e-06,0.0,1.4598108819287004e-06,1.783978616163882e-06,4.34480739749409e-05,5.469438005149539e-05,0.0,0.0,5.2158231569863976e-05,0.0,2.300529121101633e-06,1.53171619684671e-05,0.0,1.3193105244015953e-05,5.394364816878327e-06,1.0839073284272453e-05,0.0,0.0,0.0,0.0,4.4485960262910675e-06,0.0,2.7629105819755033e-06,0.0,0.0,3.677992462750549e-06,1.7792924984528595e-06,5.190178359303742e-06,2.465076065843201e-05,2.404079897352702e-06,0.0,4.485763567938398e-07
Vibrisseaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inocybaceae,0.0,0.0,0.0,0.0,0.0,3.0075191587992974e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.719351020641153e-11,0.0,0.0,0.0,0.0,7.056597845243856e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phaeosphaeriaceae,0.00011153433823695069,6.034255131418156e-05,1.976185042881958e-05,0.0033257977685981137,0.0,9.970229453185637e-05,0.0003786514791544194,0.0,0.0,0.00020696555807203182,0.0,5.959212676560204e-05,9.471593947140097e-06,8.276943780624742e-06,3.761614218341737e-06,1.635485624882996e-06,3.8237040114634365e-05,4.5852969843468624e-05,1.905079923513891e-05,1.6790545147636204e-05,4.386596591039963e-06,6.7008632873505395e-06,0.00015577876490896248,0.00017948919271160152,0.0,0.0,0.00022987163245550182,4.916962950091314e-05,4.839013962422173e-05,4.2574655018001125e-05,2.691268007728152e-06,4.6251403570531026e-05,6.172104362541752e-05,0.0001872798692060844,1.4440369395252214e-05,0.0,0.0,0.0,6.683809665146552e-06,0.0,1.1267394364729414e-05,0.00010574710260545251,3.22082376993829e-05,1.1052026943144981e-05,2.1386437119482993e-05,1.819533987330812e-05,0.0003379592226931433,3.828739921600319e-05,0.00025131568241540804,8.76154782944623e-06
Nosematidae,8.003895191855296e-05,0.00015988744101449984,3.781717980421116e-05,6.917824510485806e-05,0.0,0.0001349192264826705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0210066999435172e-05,0.0,0.0,0.0,0.0,0.0,6.81383682994602e-05,8.69042542474124e-05,0.0,0.0,0.00017995616901528416,0.0,0.0,1.9817709293449424e-05,0.0,0.0,1.0737473528942002e-05,4.674617134260212e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5408788775139655e-05,0.0,0.0,0.0,2.6578118148176296e-05,0.0,3.435208366224269e-05,0.0
Cryptococcaceae,4.9852257205789066e-05,0.0003153553013980904,2.355442855268201e-05,0.0004308766650919999,0.0,0.00025719629640128216,0.00018463092723693141,0.0,0.0,0.00037002775636062933,0.0,0.00021308609190094752,1.0583743649388335e-05,1.1838487389681348e-05,1.6813204120450817e-05,3.801248896506544e-05,4.451537804536613e-05,8.197920326311097e-05,3.8067477821495776e-05,3.3021264927463255e-05,2.1567341454519436e-05,2.1564504624785957e-05,0.0004747972683391326,0.0005142189489758044,0.0,0.0017216101177715075,0.00042966181505993726,1.9110644233873234e-05,3.089833428243391e-05,0.00024481194166956003,3.528536371415697e-05,9.45046302177606e-05,8.359793564167866e-05,0.00018925302816229358,0.00011617884116341167,0.0,0.0,6.408370412493646e-05,2.2405857501495212e-05,3.997093655289793e-05,5.195199120055579e-05,0.00018906219703045644,0.000124765723149211,3.951920088641843e-05,6.054064137296348e-05,2.7883648932803347e-05,0.00037246904013227256,7.620232674466184e-05,0.00027815051671788914,3.855881562905917e-05
Phaeotrichaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.090813810999293e-12,0.0,0.0,3.1327103834312202e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5245778181032e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythrobasidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.353926807221407e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blastocladiaceae,0.0,0.0,0.0,0.0,0.0,9.455717904974605e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1806827029757488e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.4356467957500435e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2416715061696587e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.915815099871592e-07,0.0,0.0,0.0,0.0,0.0
Cudoniaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amphiacanthidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55335854010746e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meripilaceae,0.0,0.0,0.0,2.5444155726782285e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
