,Adal-1_RunId0094_LaneId7,Adal-2_RunId0094_LaneId7,Adal-3_RunId0094_LaneId7,Adal-4_RunId0094_LaneId7,Adal-5_RunId0094_LaneId7,Adal-6_RunId0094_LaneId7,Adal-7_RunId0094_LaneId7,Adal-8_RunId0094_LaneId7,Adal-9_RunId0094_LaneId7,Control_1_RunId0094_LaneId7,Control_2_RunId0094_LaneId7,Tj2-10_RunId0094_LaneId7,Tj2-1_RunId0094_LaneId7,Tj2-2_1_RunId0094_LaneId7,Tj2-2_2_RunId0094_LaneId7,Tj2-3_RunId0094_LaneId7,Tj2-4_RunId0094_LaneId7,Tj2-5_RunId0094_LaneId7,Tj2-6_RunId0094_LaneId7,Tj2-7_RunId0094_LaneId7,Tj2-8_RunId0094_LaneId7,Tj2-9_RunId0094_LaneId7,Tjor-10_RunId0094_LaneId7,Tjor-2_RunId0094_LaneId7,Tjor-3_RunId0094_LaneId7,Tjor-4_RunId0094_LaneId7,Tjor-5_RunId0094_LaneId7,Tjor-6_RunId0094_LaneId7,Tjor-7_RunId0094_LaneId7,Tjor-9_RunId0094_LaneId7,ULL-10_RunId0094_LaneId7,ULL-1_RunId0094_LaneId7,ULL-2_RunId0094_LaneId7,ULL-3_RunId0094_LaneId7,ULL-4_RunId0094_LaneId7,ULL-5_RunId0094_LaneId7,ULL-6_RunId0094_LaneId7,ULL-7_RunId0094_LaneId7,ULL-8_RunId0094_LaneId7,ULL-9_RunId0094_LaneId7,Var-10_RunId0094_LaneId7,Var-1_RunId0094_LaneId7,Var-2_RunId0094_LaneId7,Var-3_RunId0094_LaneId7,Var-4_RunId0094_LaneId7,Var-5_RunId0094_LaneId7,Var-6_RunId0094_LaneId7,Var-7_RunId0094_LaneId7,Var-8_RunId0094_LaneId7,Var-9_RunId0094_LaneId7
Myzocytiopsidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.594705983615688e-13,2.2140234473939173e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peronosporaceae,4.591915811926159e-06,3.057634859545216e-05,0.0,9.260594121017695e-05,0.0,3.2838284602434704e-05,0.003186629886484936,0.012364354550360928,0.0,0.008998027566600704,0.018704882926392486,0.0028525248002900768,5.199326975293522e-06,0.00040492001295918615,9.828907885373584e-05,0.00026646163399169254,0.00013160117225816098,0.001288728667840996,4.429154544830164e-06,0.0005884122885584131,2.889568549430216e-06,0.000627381926806292,0.6221039013163995,1.334762115829512,0.025111742575978903,0.5777537907142134,0.9031692457063255,0.00039242749440566516,3.6429576886567094e-05,0.16423290809352606,0.0003332883267432079,5.222920647373734e-05,1.7248552764410126e-05,0.004907831688038207,0.0005469548183629588,0.0,0.011233633410760129,0.0018888900330806878,5.650265478951853e-05,2.6181280213860645e-05,0.00015651588169198673,0.008173257667245736,2.1216427988570783e-05,0.003793018520070628,0.0007114348282352075,1.027350620455911e-05,0.11129106063951466,0.019941669332051534,0.21826369386582511,9.767096296656131e-06
Olpidiopsidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhipidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2784117950847062e-12,1.1070117236969587e-11,0.0,0.0,1.0697559316183482e-11,0.0,0.0,1.1780708704659635e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lagenaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lagenidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4481394376185718e-06,1.2327309965214309e-05,0.0,0.0,1.2539412635692377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albuginaceae,3.609463055768895e-05,5.340990323760677e-06,7.579626897195468e-06,0.0001386526679176574,0.0,3.113882273601693e-05,0.0012318244971269035,0.0,0.0,0.01738450839373399,0.0012785150298449109,0.0,2.724611309792655e-06,3.8095306468694142e-06,1.0820709480969012e-05,9.409319393184092e-06,3.0695770620024795e-06,0.00015828151534408034,5.157814815053285e-06,0.00022990754992223902,2.5237084170091916e-06,0.0002929920450556856,0.008898288865794175,0.016338138199326675,0.0010527476060841708,0.010803007398638391,0.011794327464848773,0.000275504436988368,0.000425553427012835,0.0024176401628840986,0.000142447967027832,0.0005397923188936866,1.5782006652033737e-05,0.000510624018021996,2.0769679312407477e-05,0.0,0.0002885675583350786,4.124324785641867e-05,4.806683940367401e-06,0.00037729495454870453,1.0917704912512522e-05,0.0008517418603086618,0.00027486357974747624,4.4509370738307035e-05,2.4608203762580887e-05,2.9909118076646775e-06,0.04776190627205676,0.23736285766173948,0.006010713367856667,8.918191613208621e-05
Eurychasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.184546094986638e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haliphthoraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pythiaceae,0.0,0.0,0.0,0.0,0.0,1.3337122028259872e-06,0.0,0.00036115161030282486,0.0,0.0,0.0,0.0,0.0,3.100166423214148e-06,1.761161849994432e-06,3.0628923877558155e-06,0.0,0.0,0.0,3.14448700352499e-06,0.0,0.0,0.0007362915872576093,0.0030900802413257643,0.0,0.0011271030042303075,0.002260110592296693,2.001815793848291e-06,0.0,0.00022195843063110938,8.400220877179351e-07,6.187025246458801e-06,8.756777942839044e-06,3.8123106056719383e-06,3.38044071009981e-06,0.0,0.0,0.0,1.5646568084365375e-06,0.0,1.6658893833883082e-06,0.0,2.5132791491091853e-06,0.0,1.668830408785798e-06,0.0,0.00010837683470641012,3.991048636002355e-05,0.0004706570812255718,6.310917391582604e-07
